Approved_symbol	Chromosome	NCBI_Gene_ID	Chromosome_number	Arm_name	Region_name	Chromosome_arm
IGHVII-31-1	14q32.33 not on reference assembly	28370	14	q	32.33	14q
IGHVII-33-1	14q32.33	28369	14	q	32.33	14q
IGHVII-40-1	14q32.33	28368	14	q	32.33	14q
IGHVII-43-1	14q32.33	28367	14	q	32.33	14q
IGHVII-44-2	14q32.33	28366	14	q	32.33	14q
IGHVII-46-1	14q32.33	28365	14	q	32.33	14q
IGHVII-49-1	14q32.33	28364	14	q	32.33	14q
IGHVII-51-2	14q32.33	28363	14	q	32.33	14q
IGHVII-53-1	14q32.33	28362	14	q	32.33	14q
IGHVII-60-1	14q32.33	28361	14	q	32.33	14q
IGHVII-62-1	14q32.33	28360	14	q	32.33	14q
IGHVII-65-1	14q32.33	28359	14	q	32.33	14q
IGHVII-67-1	14q32.33	28358	14	q	32.33	14q
IGHVII-74-1	14q32.33	28357	14	q	32.33	14q
IGHVII-78-1	14q32.33	28356	14	q	32.33	14q
IGHVIII-2-1	14q32.33	28355	14	q	32.33	14q
IGHVIII-5-1	14q32.33	28354	14	q	32.33	14q
IGHVIII-5-2	14q32.33	28353	14	q	32.33	14q
IGHVIII-11-1	14q32.33	28352	14	q	32.33	14q
IGHVIII-13-1	14q32.33	28351	14	q	32.33	14q
IGHVIII-16-1	14q32.33	28350	14	q	32.33	14q
IGHVIII-22-2	14q32.33	28349	14	q	32.33	14q
IGHVIII-25-1	14q32.33	28348	14	q	32.33	14q
IGHVIII-26-1	14q32.33	28347	14	q	32.33	14q
IGHVIII-38-1	14q32.33	28346	14	q	32.33	14q
IGHVIII-44	14q32.33	28345	14	q	32.33	14q
IGHVIII-47-1	14q32.33	28344	14	q	32.33	14q
IGHVIII-67-2	14q32.33	28342	14	q	32.33	14q
IGHVIII-67-3	14q32.33	28341	14	q	32.33	14q
IGHVIII-67-4	14q32.33	28340	14	q	32.33	14q
IGHVIII-76-1	14q32.33	28339	14	q	32.33	14q
IGHVIII-82	14q32.33	28338	14	q	32.33	14q
IGHVIV-44-1	14q32.33	28337	14	q	32.33	14q
IGIP	5q31.3	492311	5	q	31.3	5q
IGK	2p11.2	50802	2	p	11.2	2p
IGKC	2p11.2	3514	2	p	11.2	2p
IGKDEL	2q11-q13	3515	2	q	11	2q
IGKJ1	2p11.2	28950	2	p	11.2	2p
IGKJ2	2p11.2	28949	2	p	11.2	2p
IGKJ3	2p11.2	28948	2	p	11.2	2p
IGKJ4	2p11.2	28947	2	p	11.2	2p
IGKJ5	2p11.2	28946	2	p	11.2	2p
IGKV1-5	2p11.2	28299	2	p	11.2	2p
IGKV1-6	2p11.2	28943	2	p	11.2	2p
IGKV1-8	2p11.2	28942	2	p	11.2	2p
IGKV1-9	2p11.2	28941	2	p	11.2	2p
IGKV1-12	2p11.2	28940	2	p	11.2	2p
IGKV1-13	2p11.2	28939	2	p	11.2	2p
IGKV1-16	2p11.2	28938	2	p	11.2	2p
IGKV1-17	2p11.2	28937	2	p	11.2	2p
IGKV1-22	2p11.2	28936	2	p	11.2	2p
IGKV1-27	2p11.2	28935	2	p	11.2	2p
IGKV1-32	2p11.2	28934	2	p	11.2	2p
IGKV1-33	2p11.2	28933	2	p	11.2	2p
IGKV1-35	2p11.2	28932	2	p	11.2	2p
IGKV1-37	2p11.2	28931	2	p	11.2	2p
IGKV1-39	2p11.2	28930	2	p	11.2	2p
IGKV1D-8	2p11.2	28904	2	p	11.2	2p
IGKV1D-12	2p11.2	28903	2	p	11.2	2p
IGKV1D-13	2p11.2	28902	2	p	11.2	2p
IGKV1D-16	2p11.2	28901	2	p	11.2	2p
IGKV1D-17	2p11.2	28900	2	p	11.2	2p
IGKV1D-22	2p11.2	28899	2	p	11.2	2p
IGKV1D-27	2p11.2	28898	2	p	11.2	2p
IGKV1D-32	2p11.2	28897	2	p	11.2	2p
IGKV1D-33	2p11.2	28896	2	p	11.2	2p
IGKV1D-35	2p11.2	28895	2	p	11.2	2p
IGKV1D-37	2p11.2	28894	2	p	11.2	2p
IGKV1D-39	2p11.2	28893	2	p	11.2	2p
IGKV1D-42	2p11.2	28892	2	p	11.2	2p
IGKV1D-43	2p11.2	28891	2	p	11.2	2p
IGKV1OR-2	9q13	3532	9	q	13	9q
IGKV1OR-3	9q12	644731	9	q	12	9q
IGKV1OR1-1	1q21.1	3525	1	q	21.1	1q
IGKV1OR2-0	2p11.2	28867	2	p	11.2	2p
IGKV1OR2-1	2p11.1	3531	2	p	11.1	2p
IGKV1OR2-3	2q11.2	28866	2	q	11.2	2q
IGKV1OR2-6	2q11.2	28865	2	q	11.2	2q
IGKV1OR2-9	2q11.2	28864	2	q	11.2	2q
IGKV1OR2-11	2q11.2	28863	2	q	11.2	2q
IGKV1OR2-108	2q12-q14	28862	2	q	12	2q
IGKV1OR2-118	2p11.2	339562	2	p	11.2	2p
IGKV1OR10-1	10q11.21	642424	10	q	11.21	10q
IGKV1OR22-1	22q11.1	3530	22	q	11.1	22q
IGKV1OR22-5	22q11	28850	22	q	11	22q
IGKV1ORY-1	Yq11.21	439957	Y	q	11.21	Yq
IGKV2-4	2p11.2	28929	2	p	11.2	2p
IGKV2-10	2p11.2	28928	2	p	11.2	2p
IGKV2-14	2p11.2	28927	2	p	11.2	2p
IGKV2-18	2p11.2	28926	2	p	11.2	2p
IGKV2-19	2p11.2	28925	2	p	11.2	2p
IGKV2-23	2p11.2	28924	2	p	11.2	2p
IGKV2-24	2p11.2	28923	2	p	11.2	2p
IGKV2-26	2p11.2	28922	2	p	11.2	2p
IGKV2-28	2p11.2	28921	2	p	11.2	2p
IGKV2-29	2p11.2	28920	2	p	11.2	2p
IGKV2-30	2p11.2	28919	2	p	11.2	2p
IGKV2-36	2p11.2	28918	2	p	11.2	2p
IGKV2-38	2p11.2	28917	2	p	11.2	2p
IGKV2-40	2p11.2	28916	2	p	11.2	2p
IGKV2D-10	2p11.2	28890	2	p	11.2	2p
IGKV2D-14	2p11.2	28889	2	p	11.2	2p
IGKV2D-18	2p11.2	28888	2	p	11.2	2p
IGKV2D-19	2p11.2	28887	2	p	11.2	2p
IGKV2D-23	2p11.2	28886	2	p	11.2	2p
IGKV2D-24	2p11.2	28885	2	p	11.2	2p
IGKV2D-26	2p11.2	28884	2	p	11.2	2p
IGKV2D-28	2p11.2	28883	2	p	11.2	2p
IGKV2D-29	2p11.2	28882	2	p	11.2	2p
IGKV2D-30	2p11.2	28881	2	p	11.2	2p
IGKV2D-36	2p11.2	28880	2	p	11.2	2p
IGKV2D-38	2p11.2	28879	2	p	11.2	2p
IGKV2D-40	2p11.2	28878	2	p	11.2	2p
IGKV2OR2-1	2q11.2	28861	2	q	11.2	2q
IGKV2OR2-2	2q11.2	28859	2	q	11.2	2q
IGKV2OR2-4	2q11.2	28858	2	q	11.2	2q
IGKV2OR2-7	2q11.2	652873	2	q	11.2	2q
IGKV2OR2-7D	2q11.2	100310869	2	q	11.2	2q
IGKV2OR2-8	2q11.2	100996600	2	q	11.2	2q
IGKV2OR2-10	2q11.2	28855	2	q	11.2	2q
IGKV2OR22-3	22q11.1	3529	22	q	11.1	22q
IGKV2OR22-4	22q11.1	28847	22	q	11.1	22q
IGKV3-7	2p11.2	28915	2	p	11.2	2p
IGKV3-11	2p11.2	28914	2	p	11.2	2p
IGKV3-15	2p11.2	28913	2	p	11.2	2p
IGKV3-20	2p11.2	28912	2	p	11.2	2p
IGKV3-25	2p11.2	28911	2	p	11.2	2p
IGKV3-31	2p11.2	28910	2	p	11.2	2p
IGKV3-34	2p11.2	28909	2	p	11.2	2p
IGKV3D-7	2p11.2	28877	2	p	11.2	2p
IGKV3D-11	2p11.2	28876	2	p	11.2	2p
IGKV3D-15	2p11.2	28875	2	p	11.2	2p
IGKV3D-20	2p11.2	28874	2	p	11.2	2p
IGKV3D-25	2p11.2	28873	2	p	11.2	2p
IGKV3D-31	2p11.2	28872	2	p	11.2	2p
IGKV3D-34	2p11.2	28871	2	p	11.2	2p
IGKV3OR2-5	2q11.2	28854	2	q	11.2	2q
IGKV3OR2-268	2p12	3523	2	p	12	2p
IGKV3OR22-2	22q11.1	3527	22	q	11.1	22q
IGKV4-1	2p11.2	28908	2	p	11.2	2p
IGKV5-2	2p11.2	28907	2	p	11.2	2p
IGKV6-21	2p11.2	28906	2	p	11.2	2p
IGKV6D-21	2p11.2	28870	2	p	11.2	2p
IGKV6D-41	2p11.2	28869	2	p	11.2	2p
IGKV7-3	2p11.2	28905	2	p	11.2	2p
IGL	22q11.2	3535	22	q	11.2	22q
IGLC1	22q11.22	3537	22	q	11.22	22q
IGLC2	22q11.22	3538	22	q	11.22	22q
IGLC3	22q11.22	3539	22	q	11.22	22q
IGLC4	22q11.22	3540	22	q	11.22	22q
IGLC5	22q11.22	3541	22	q	11.22	22q
IGLC6	22q11.22	3542	22	q	11.22	22q
IGLC7	22q11.22	28834	22	q	11.22	22q
IGLCOR22-1	22q12.2-q12.3	84096	22	q	12.2	22q
IGLCOR22-2	22q12.2-q12.3	84086	22	q	12.2	22q
IGLJ1	22q11.22	28833	22	q	11.22	22q
IGLJ2	22q11.22	28832	22	q	11.22	22q
IGLJ3	22q11.22	28831	22	q	11.22	22q
IGLJ4	22q11.22	28830	22	q	11.22	22q
IGLJ5	22q11.22	28829	22	q	11.22	22q
IGLJ6	22q11.22	28828	22	q	11.22	22q
IGLJ7	22q11.22	28827	22	q	11.22	22q
IGLJCOR18	18p11.31	204777	18	p	11.31	18p
IGLL1	22q11.23	3543	22	q	11.23	22q
IGLL2P	22q11.23	3544	22	q	11.23	22q
IGLL3P	22q11.23	91353	22	q	11.23	22q
IGLL4P	22q11.21	100287528	22	q	11.21	22q
IGLL5	22q11.22	100423062	22	q	11.22	22q
IGLON5	19q13.41	402665	19	q	13.41	19q
IGLV1-36	22q11.22	28826	22	q	11.22	22q
IGLV1-40	22q11.22	28825	22	q	11.22	22q
IGLV1-41	22q11.22	28824	22	q	11.22	22q
IGLV1-44	22q11.22	28823	22	q	11.22	22q
IGLV1-47	22q11.22	28822	22	q	11.22	22q
IGLV1-50	22q11.22	28821	22	q	11.22	22q
IGLV1-51	22q11.22	28820	22	q	11.22	22q
IGLV1-62	22q11.22	28819	22	q	11.22	22q
IGLV2-5	22q11.22	28818	22	q	11.22	22q
IGLV2-8	22q11.22	28817	22	q	11.22	22q
IGLV2-11	22q11.22	28816	22	q	11.22	22q
IGLV2-14	22q11.22	28815	22	q	11.22	22q
IGLV2-18	22q11.22	28814	22	q	11.22	22q
IGLV2-23	22q11.22	28813	22	q	11.22	22q
IGLV2-28	22q11.22	28812	22	q	11.22	22q
IGLV2-33	22q11.22	28811	22	q	11.22	22q
IGLV2-34	22q11.22	28810	22	q	11.22	22q
IGLV3-1	22q11.22	28809	22	q	11.22	22q
IGLV3-2	22q11.22	28808	22	q	11.22	22q
IGLV3-4	22q11.22	28807	22	q	11.22	22q
IGLV3-6	22q11.22	28806	22	q	11.22	22q
IGLV3-7	22q11.22	28805	22	q	11.22	22q
IGLV3-9	22q11.22	28804	22	q	11.22	22q
IGLV3-10	22q11.22	28803	22	q	11.22	22q
IGLV3-12	22q11.22	28802	22	q	11.22	22q
IGLV3-13	22q11.22	28801	22	q	11.22	22q
IGLV3-15	22q11.22	28800	22	q	11.22	22q
IGLV3-16	22q11.22	28799	22	q	11.22	22q
IGLV3-17	22q11.22	28798	22	q	11.22	22q
IGLV3-19	22q11.22	28797	22	q	11.22	22q
IGLV3-21	22q11.22	28796	22	q	11.22	22q
IGLV3-22	22q11.22	28795	22	q	11.22	22q
IGLV3-24	22q11.22	28794	22	q	11.22	22q
IGLV3-25	22q11.22	28793	22	q	11.22	22q
IGLV3-26	22q11.22	28792	22	q	11.22	22q
IGLV3-27	22q11.22	28791	22	q	11.22	22q
IGLV3-29	22q11.22	28790	22	q	11.22	22q
IGLV3-30	22q11.22	28789	22	q	11.22	22q
IGLV3-31	22q11.22	28788	22	q	11.22	22q
IGLV3-32	22q11.22	28787	22	q	11.22	22q
IGLV4-3	22q11.22	28786	22	q	11.22	22q
IGLV4-60	22q11.22	28785	22	q	11.22	22q
IGLV4-69	22q11.22	28784	22	q	11.22	22q
IGLV5-37	22q11.22	28783	22	q	11.22	22q
IGLV5-39	22q11.2 alternate reference locus	28782	22	q	11.2	22q
IGLV5-45	22q11.22	28781	22	q	11.22	22q
IGLV5-48	22q11.22	28780	22	q	11.22	22q
IGLV5-52	22q11.22	28779	22	q	11.22	22q
IGLV6-57	22q11.22	28778	22	q	11.22	22q
IGLV7-35	22q11.22	28777	22	q	11.22	22q
IGLV7-43	22q11.22	28776	22	q	11.22	22q
IGLV7-46	22q11.22	28775	22	q	11.22	22q
IGLV8-61	22q11.22	28774	22	q	11.22	22q
IGLV8OR8-1	8q11.21	100996586	8	q	11.21	8q
IGLV9-49	22q11.22	28773	22	q	11.22	22q
IGLV10-54	22q11.22	28772	22	q	11.22	22q
IGLV10-67	22q11.22	28771	22	q	11.22	22q
IGLV11-55	22q11.22	28770	22	q	11.22	22q
IGLVI-20	22q11.22	28769	22	q	11.22	22q
IGLVI-38	22q11.22	28768	22	q	11.22	22q
IGLVI-42	22q11.22	28767	22	q	11.22	22q
IGLVI-56	22q11.22	28766	22	q	11.22	22q
IGLVI-63	22q11.22	28765	22	q	11.22	22q
IGLVI-68	22q11.22	28764	22	q	11.22	22q
IGLVI-70	22q11.22	28763	22	q	11.22	22q
IGLVIV-53	22q11.22	28762	22	q	11.22	22q
IGLVIV-59	22q11.22	28761	22	q	11.22	22q
IGLVIV-64	22q11.22	28760	22	q	11.22	22q
IGLVIV-65	22q11.22	28759	22	q	11.22	22q
IGLVIV-66-1	22q11.22	84097	22	q	11.22	22q
IGLVIVOR22-1	22q11.2-q12.1	84088	22	q	11.2	22q
IGLVIVOR22-2	22q12.2-q12.3	84087	22	q	12.2	22q
IGLVV-58	22q11.22	28758	22	q	11.22	22q
IGLVV-66	22q11.22	28757	22	q	11.22	22q
IGLVVI-22-1	22q11.22	84091	22	q	11.22	22q
IGLVVI-25-1	22q11.22	84090	22	q	11.22	22q
IGLVVII-41-1	22q11.22	84089	22	q	11.22	22q
IGSF1	Xq26.1	3547	X	q	26.1	Xq
IGSF3	1p13.1	3321	1	p	13.1	1p
IGSF3P2	2p11.2	100289350	2	p	11.2	2p
IGSF5	21q22.2	150084	21	q	22.2	21q
IGSF6	16p12.2	10261	16	p	12.2	16p
IGSF8	1q23.2	93185	1	q	23.2	1q
IGSF9	1q23.2	57549	1	q	23.2	1q
IGSF9B	11q25	22997	11	q	25	11q
IGSF10	3q25.1	285313	3	q	25.1	3q
IGSF11	3q13.32	152404	3	q	13.32	3q
IGSF11-AS1	3q13.32	100506765	3	q	13.32	3q
IGSF21	1p36.13	84966	1	p	36.13	1p
IGSF21-AS1	1p36.13	105376814	1	p	36.13	1p
IGSF22	11p15.1	283284	11	p	15.1	11p
IGSF23	19q13.31	147710	19	q	13.31	19q
IHH	2q35	3549	2	q	35	2q
IHO1	3p21.31	339834	3	p	21.31	3p
IK	5q31.3	3550	5	q	31.3	5q
IKBIP	12q23.1	121457	12	q	23.1	12q
IKBKB	8p11.21	3551	8	p	11.21	8p
IKBKB-DT	8p11.21	101929897	8	p	11.21	8p
IKBKE	1q32.1	9641	1	q	32.1	1q
IKBKE-AS1	1q32.1	574431	1	q	32.1	1q
IKBKG	Xq28	8517	X	q	28	Xq
IKBKGP1	Xq28	246210	X	q	28	Xq
IKZF1	7p12.2	10320	7	p	12.2	7p
IKZF2	2q34	22807	2	q	34	2q
IKZF3	17q12-q21.1	22806	17	q	12	17q
IKZF4	12q13.2	64375	12	q	13.2	12q
IKZF5	10q26.13	64376	10	q	26.13	10q
IL1A	2q14.1	3552	2	q	14.1	2q
IL1B	2q14.1	3553	2	q	14.1	2q
IL1F10	2q14.1	84639	2	q	14.1	2q
IL1R1	2q11.2-q12.1	3554	2	q	11.2	2q
IL1R2	2q11.2	7850	2	q	11.2	2q
IL1RAP	3q28	3556	3	q	28	3q
IL1RAPL1	Xp21.3-p21.2	11141	X	p	21.3	Xp
IL1RAPL2	Xq22.3	26280	X	q	22.3	Xq
IL1RL1	2q12.1	9173	2	q	12.1	2q
IL1RL2	2q12.1	8808	2	q	12.1	2q
IL1RN	2q14.1	3557	2	q	14.1	2q
IL2	4q27	3558	4	q	27	4q
IL2RA	10p15.1	3559	10	p	15.1	10p
IL2RB	22q12.3	3560	22	q	12.3	22q
IL2RG	Xq13.1	3561	X	q	13.1	Xq
IL3	5q31.1	3562	5	q	31.1	5q
IL3RA	Xp22.3 and Yp13.3	3563	X	p	22.3	Xp
IL4	5q31.1	3565	5	q	31.1	5q
IL4I1	19q13.33	259307	19	q	13.33	19q
IL4R	16p12.1	3566	16	p	12.1	16p
IL5	5q31.1	3567	5	q	31.1	5q
IL5RA	3p26.2	3568	3	p	26.2	3p
IL6	7p15.3	3569	7	p	15.3	7p
IL6-AS1	7p15.3	541472	7	p	15.3	7p
IL6R	1q21.3	3570	1	q	21.3	1q
IL6RP1	9q22.2	157916	9	q	22.2	9q
IL6ST	5q11.2	3572	5	q	11.2	5q
IL6ST-DT	5q11.2	441072	5	q	11.2	5q
IL6STP1	17p12	3573	17	p	12	17p
IL7	8q21.13	3574	8	q	21.13	8q
IL7R	5p13.2	3575	5	p	13.2	5p
IL9	5q31.1	3578	5	q	31.1	5q
IL9R	Xq28 and Yq12	3581	X	q	28	Xq
IL9RP1	9q34.3	100128449	9	q	34.3	9q
IL9RP2	10p15.3	439945	10	p	15.3	10p
IL9RP3	16p13.3	729486	16	p	13.3	16p
IL9RP4	18p11.32	100132166	18	p	11.32	18p
IL9RP6	22q11.1	100419811	22	q	11.1	22q
IL10	1q32.1	3586	1	q	32.1	1q
IL10RA	11q23.3	3587	11	q	23.3	11q
IL10RB	21q22.11	3588	21	q	22.11	21q
IL10RB-DT	21q22.11	100288432	21	q	22.11	21q
IL11	19q13.42	3589	19	q	13.42	19q
IL11RA	9p13.3	3590	9	p	13.3	9p
IL12A	3q25.33	3592	3	q	25.33	3q
IL12A-AS1	3q25.33	101928376	3	q	25.33	3q
IL12B	5q33.3	3593	5	q	33.3	5q
IL12RB1	19p13.11	3594	19	p	13.11	19p
IL12RB2	1p31.3	3595	1	p	31.3	1p
IL13	5q31.1	3596	5	q	31.1	5q
IL13RA1	Xq24	3597	X	q	24	Xq
IL13RA2	Xq23	3598	X	q	23	Xq
IL15	4q31.21	3600	4	q	31.21	4q
IL15RA	10p15.1	3601	10	p	15.1	10p
IL16	15q25.1	3603	15	q	25.1	15q
IL17A	6p12.2	3605	6	p	12.2	6p
IL17B	5q32	27190	5	q	32	5q
IL17C	16q24.2	27189	16	q	24.2	16q
IL17D	13q12.11	53342	13	q	12.11	13q
IL17F	6p12.2	112744	6	p	12.2	6p
IL17RA	22q11.1	23765	22	q	11.1	22q
IL17RB	3p21.1	55540	3	p	21.1	3p
IL17RC	3p25.3	84818	3	p	25.3	3p
IL17RD	3p14.3	54756	3	p	14.3	3p
IL17RE	3p25.3	132014	3	p	25.3	3p
IL17REL	22q13.33	400935	22	q	13.33	22q
IL18	11q23.1	3606	11	q	23.1	11q
IL18BP	11q13.4	10068	11	q	13.4	11q
IL18R1	2q12.1	8809	2	q	12.1	2q
IL18RAP	2q12.1	8807	2	q	12.1	2q
IL19	1q32.1	29949	1	q	32.1	1q
IL20	1q32.1	50604	1	q	32.1	1q
IL20RA	6q23.3	53832	6	q	23.3	6q
IL20RB	3q22.3	53833	3	q	22.3	3q
IL21	4q27	59067	4	q	27	4q
IL21R	16p12.1	50615	16	p	12.1	16p
IL21R-AS1	16p12.1	283888	16	p	12.1	16p
IL22	12q15	50616	12	q	15	12q
IL22RA1	1p36.11	58985	1	p	36.11	1p
IL22RA2	6q23.3	116379	6	q	23.3	6q
IL23A	12q13.3	51561	12	q	13.3	12q
IL23R	1p31.3	149233	1	p	31.3	1p
IL24	1q32.1	11009	1	q	32.1	1q
IL25	14q11.2	64806	14	q	11.2	14q
IL26	12q15	55801	12	q	15	12q
IL27	16p12.1-p11.2	246778	16	p	12.1	16p
IL27RA	19p13.12	9466	19	p	13.12	19p
IL31	12q24.31	386653	12	q	24.31	12q
IL31RA	5q11.2	133396	5	q	11.2	5q
IL32	16p13.3	9235	16	p	13.3	16p
IL33	9p24.1	90865	9	p	24.1	9p
IL34	16q22.1	146433	16	q	22.1	16q
IL36A	2q14.1	27179	2	q	14.1	2q
IL36B	2q14.1	27177	2	q	14.1	2q
IL36G	2q14.1	56300	2	q	14.1	2q
IL36RN	2q14.1	26525	2	q	14.1	2q
IL37	2q14.1	27178	2	q	14.1	2q
ILDR1	3q13.33	286676	3	q	13.33	3q
ILDR2	1q24.1	387597	1	q	24.1	1q
ILF2	1q21.3	3608	1	q	21.3	1q
ILF2P1	3p14.1	100421506	3	p	14.1	3p
ILF2P2	14q13.2	644616	14	q	13.2	14q
ILF3	19p13.2	3609	19	p	13.2	19p
ILF3-DT	19p13.2	147727	19	p	13.2	19p
ILK	11p15.4	3611	11	p	15.4	11p
ILKAP	2q37.3	80895	2	q	37.3	2q
ILRUN	6p21.31	64771	6	p	21.31	6p
ILRUN-AS1	6p21.31	101929243	6	p	21.31	6p
ILRUNP1	2q12.2	105369222	2	q	12.2	2q
ILVBL	19p13.12	10994	19	p	13.12	19p
IMMP1L	11p13	196294	11	p	13	11p
IMMP1LP1	11q13.1	729101	11	q	13.1	11q
IMMP1LP2	12q24.13	105369987	12	q	24.13	12q
IMMP2L	7q31.1	83943	7	q	31.1	7q
IMMT	2p11.2	10989	2	p	11.2	2p
IMMTP1	21q22.3	54045	21	q	22.3	21q
IMP3	15q24.2	55272	15	q	24.2	15q
IMP3P1	9p23	646087	9	p	23	9p
IMP4	2q21.1	92856	2	q	21.1	2q
IMPA1	8q21.13	3612	8	q	21.13	8q
IMPA1P1	8q21.13	650747	8	q	21.13	8q
IMPA2	18p11.21	3613	18	p	11.21	18p
IMPACT	18q11.2	55364	18	q	11.2	18q
IMPDH1	7q32.1	3614	7	q	32.1	7q
IMPDH1P1	9p13.3	340499	9	p	13.3	9p
IMPDH1P2	Xp11.4	402394	X	p	11.4	Xp
IMPDH1P3	7q33	136307	7	q	33	7q
IMPDH1P4	Xp11.3	139334	X	p	11.3	Xp
IMPDH1P5	10q22.3	340780	10	q	22.3	10q
IMPDH1P6	8q24.13	392267	8	q	24.13	8q
IMPDH1P7	2q32.1	391467	2	q	32.1	2q
IMPDH1P8	3p25.1	131961	3	p	25.1	3p
IMPDH1P9	6p22.3	441132	6	p	22.3	6p
IMPDH1P11	16p13.2	727833	16	p	13.2	16p
IMPDH2	3p21.31	3615	3	p	21.31	3p
IMPG1	6q14.1	3617	6	q	14.1	6q
IMPG2	3q12.3	50939	3	q	12.3	3q
INA	10q24.33	9118	10	q	24.33	10q
INAFM1	19q13.32	255783	19	q	13.32	19q
INAFM2	15q15.1	100505573	15	q	15.1	15q
INAVA	1q32.1	55765	1	q	32.1	1q
INAVAP1	3q13.2	100420831	3	q	13.2	3q
INCA1	17p13.2	388324	17	p	13.2	17p
INCENP	11q12.3	3619	11	q	12.3	11q
INE1	Xp11.3	8552	X	p	11.3	Xp
INE2	Xp22.2	8551	X	p	22.2	Xp
INF2	14q32.33	64423	14	q	32.33	14q
ING1	13q34	3621	13	q	34	13q
ING2	4q35.1	3622	4	q	35.1	4q
ING2-DT	4q35.1	389247	4	q	35.1	4q
ING3	7q31.31	54556	7	q	31.31	7q
ING4	12p13.31	51147	12	p	13.31	12p
ING5	2q37.3	84289	2	q	37.3	2q
INGX	Xq13.1	27160	X	q	13.1	Xq
INHA	2q35	3623	2	q	35	2q
INHBA	7p14.1	3624	7	p	14.1	7p
INHBA-AS1	7p14.1	285954	7	p	14.1	7p
INHBB	2q14.2	3625	2	q	14.2	2q
INHBC	12q13.3	3626	12	q	13.3	12q
INHBE	12q13.3	83729	12	q	13.3	12q
INHCAP	3q22.1	100129696	3	q	22.1	3q
INIP	9q32	58493	9	q	32	9q
INKA1	3p21.31	389119	3	p	21.31	3p
INKA2	1p13.2	55924	1	p	13.2	1p
INKA2-AS1	1p13.2	100506343	1	p	13.2	1p
INKILN	4q13.3	124900714	4	q	13.3	4q
INMT	7p14.3	11185	7	p	14.3	7p
INMT-MINDY4	7p14.3	100526825	7	p	14.3	7p
INO80	15q15.1	54617	15	q	15.1	15q
INO80B	2p13.1	83444	2	p	13.1	2p
INO80B-WBP1	2p13.1	100532735	2	p	13.1	2p
INO80C	18q12.2	125476	18	q	12.2	18q
INO80D	2q33.3	54891	2	q	33.3	2q
INO80E	16p11.2	283899	16	p	11.2	16p
INPP1	2q32.2	3628	2	q	32.2	2q
INPP4A	2q11.2	3631	2	q	11.2	2q
INPP4B	4q31.21	8821	4	q	31.21	4q
INPP5A	10q26.3	3632	10	q	26.3	10q
INPP5B	1p34.3	3633	1	p	34.3	1p
INPP5D	2q37.1	3635	2	q	37.1	2q
INPP5E	9q34.3	56623	9	q	34.3	9q
INPP5F	10q26.11	22876	10	q	26.11	10q
INPP5J	22q12.2	27124	22	q	12.2	22q
INPP5K	17p13.3	51763	17	p	13.3	17p
INPPL1	11q13.4	3636	11	q	13.4	11q
INS	11p15.5	3630	11	p	15.5	11p
INS-IGF2	11p15.5	723961	11	p	15.5	11p
INSC	11p15.2	387755	11	p	15.2	11p
INSIG1	7q36.3	3638	7	q	36.3	7q
INSIG1-DT	7q36.3	105375591	7	q	36.3	7q
INSIG2	2q14.1-q14.2	51141	2	q	14.1	2q
INSL3	19p13.11	3640	19	p	13.11	19p
INSL4	9p24.1	3641	9	p	24.1	9p
INSL5	1p31.3	10022	1	p	31.3	1p
INSL6	9p24.1	11172	9	p	24.1	9p
INSM1	20p11.23	3642	20	p	11.23	20p
INSM2	14q13.2	84684	14	q	13.2	14q
INSR	19p13.2	3643	19	p	13.2	19p
INSRR	1q23.1	3645	1	q	23.1	1q
INSYN1	15q24.1	388135	15	q	24.1	15q
INSYN1-AS1	15q24.1	101929221	15	q	24.1	15q
INSYN2A	10q26.2	642938	10	q	26.2	10q
INSYN2B	5q35.1	100131897	5	q	35.1	5q
INTS1	7p22.3	26173	7	p	22.3	7p
INTS2	17q23.2	57508	17	q	23.2	17q
INTS3	1q21.3	65123	1	q	21.3	1q
INTS4	11q14.1	92105	11	q	14.1	11q
INTS4P1	7q11.21	285905	7	q	11.21	7q
INTS4P2	7q11.21	644619	7	q	11.21	7q
INTS5	11q12.3	80789	11	q	12.3	11q
INTS6	13q14.3	26512	13	q	14.3	13q
INTS6-AS1	13q14.3	100507398	13	q	14.3	13q
INTS6L	Xq26.3	203522	X	q	26.3	Xq
INTS6L-AS1	Xq26.3	100874118	X	q	26.3	Xq
INTS6P1	5p13.1	285634	5	p	13.1	5p
INTS7	1q32.3	25896	1	q	32.3	1q
INTS8	8q22.1	55656	8	q	22.1	8q
INTS9	8p21.1	55756	8	p	21.1	8p
INTS10	8p21.3	55174	8	p	21.3	8p
INTS11	1p36.33	54973	1	p	36.33	1p
INTS12	4q24	57117	4	q	24	4q
INTS13	12p11.23	55726	12	p	11.23	12p
INTS14	15q22.31	81556	15	q	22.31	15q
INTS15	7p22.1	79034	7	p	22.1	7p
INTU	4q28.1	27152	4	q	28.1	4q
INVS	9q31.1	27130	9	q	31.1	9q
IP6K1	3p21.31	9807	3	p	21.31	3p
IP6K2	3p21.31	51447	3	p	21.31	3p
IP6K3	6p21.31	117283	6	p	21.31	6p
IPCEF1	6q25.2	26034	6	q	25.2	6q
IPMK	10q21.1	253430	10	q	21.1	10q
IPMKP1	13q12.12	401730	13	q	12.12	13q
IPO4	14q12	79711	14	q	12	14q
IPO5	13q32.2	3843	13	q	32.2	13q
