Symbol	ComplexName
GNB1	ADCYAP1-GNAS-GNB1-GNGT1-VIPR1 complex|ADGRA2-DOCK1-ELMO2-GNB1-GNG2 complex|ARRB2-GNB1-GNG2-PTH1R complex|G protein complex (BTK, GNG1, GNG2)|G protein complex (CACNA1A, GNB1, GNG2)|G protein complex (GNAS, GNB1, GNG2)|G protein complex (GNB1, GNG2, MCF2)|G protein complex (GNB1, GNG2, PTHR1)|G protein complex (HDAC4, GNB1, GNG2)|G protein complex (HDAC5, GNB1, GNG2)|GNAI1-GNB1-GNG10 complex|GNAI1-GNB1-GNG11 complex|GNAI1-GNB1-GNG12 complex|GNAI1-GNB1-GNG13 complex|GNAI1-GNB1-GNG2 complex|GNAI1-GNB1-GNG3 complex|GNAI1-GNB1-GNG4 complex|GNAI1-GNB1-GNG5 complex|GNAI1-GNB1-GNG7 complex|GNAI1-GNB1-GNG8 complex|GNAI1-GNB1-GNGT1-NTS-NTSR1 complex|GNAI1-GNGT1-GNB1 complex|GNAS-L-GNB1-GNG1 complex|GNAS-L-GNB1-GNG10 complex|GNAS-L-GNB1-GNG11 complex|GNAS-L-GNB1-GNG12 complex|GNAS-L-GNB1-GNG13 complex|GNAS-L-GNB1-GNG3 complex|GNAS-L-GNB1-GNG4 complex|GNAS-L-GNB1-GNG5 complex|GNAS-L-GNB1-GNG7 complex|GNAS-L-GNB1-GNG8 complex|GNB1-CCT5 complex|GNB1-GNG2 complex|GNB1-PDCL complex|GPR56-CD81-Galpha(q/11)-Gbeta complex|IGF1R-CXCR4-GNAI2-GNB1 complex|KCTD12-GNB1-GNG2 complex|KCTD16-GNB1-GNG2 complex|KCTD8-GNB1-GNG2 complex|PP1c-Gbeta1 complex
GNB2	GNAI1-GNB2-GNG10 complex|GNAI1-GNB2-GNG11 complex|GNAI1-GNB2-GNG12 complex|GNAI1-GNB2-GNG13 complex|GNAI1-GNB2-GNG2 complex|GNAI1-GNB2-GNG3 complex|GNAI1-GNB2-GNG4 complex|GNAI1-GNB2-GNG5 complex|GNAI1-GNB2-GNG7 complex|GNAI1-GNB2-GNG8 complex|GNAI1-GNB2-GNGT1 complex|GNAS-L-GNB2-GNG1 complex|GNAS-L-GNB2-GNG10 complex|GNAS-L-GNB2-GNG11 complex|GNAS-L-GNB2-GNG12 complex|GNAS-L-GNB2-GNG13 complex|GNAS-L-GNB2-GNG2 complex|GNAS-L-GNB2-GNG3 complex|GNAS-L-GNB2-GNG4 complex|GNAS-L-GNB2-GNG5 complex|GNAS-L-GNB2-GNG7 complex|GNAS-L-GNB2-GNG8 complex|GNB2-GNG12 complex|GNB2-GNG3 complex|GNB2-GNG8 complex|GNB2-PDCL complex|GNG2-GNB2 complex|GNG2-GNB4 complex|GNG4-GNB2 complex|GNG7-GNB2 complex|GNGT2-GNB2 complex
GNB3	GNAI1-GNB3-GNG10 complex|GNAI1-GNB3-GNG11 complex|GNAI1-GNB3-GNG12 complex|GNAI1-GNB3-GNG13 complex|GNAI1-GNB3-GNG2 complex|GNAI1-GNB3-GNG3 complex|GNAI1-GNB3-GNG4 complex|GNAI1-GNB3-GNG5 complex|GNAI1-GNB3-GNG7 complex|GNAI1-GNB3-GNG8 complex|GNAI1-GNB3-GNGT1 complex|GNAS-L-GNB1-GNG3 complex|GNAS-L-GNB3-GNG1 complex|GNAS-L-GNB3-GNG10 complex|GNAS-L-GNB3-GNG11 complex|GNAS-L-GNB3-GNG12 complex|GNAS-L-GNB3-GNG13 complex|GNAS-L-GNB3-GNG2 complex|GNAS-L-GNB3-GNG4 complex|GNAS-L-GNB3-GNG5 complex|GNAS-L-GNB3-GNG7 complex|GNAS-L-GNB3-GNG8 complex
GNB4	GNAI1-GNB4-GNG10 complex|GNAI1-GNB4-GNG11 complex|GNAI1-GNB4-GNG12 complex|GNAI1-GNB4-GNG13 complex|GNAI1-GNB4-GNG2 complex|GNAI1-GNB4-GNG3 complex|GNAI1-GNB4-GNG4 complex|GNAI1-GNB4-GNG5 complex|GNAI1-GNB4-GNG7 complex|GNAI1-GNB4-GNG8 complex|GNAI1-GNB4-GNGT1 complex|GNAS-L-GNB4-GNG1 complex|GNAS-L-GNB4-GNG10 complex|GNAS-L-GNB4-GNG11 complex|GNAS-L-GNB4-GNG12 complex|GNAS-L-GNB4-GNG13 complex|GNAS-L-GNB4-GNG2 complex|GNAS-L-GNB4-GNG3 complex|GNAS-L-GNB4-GNG4 complex|GNAS-L-GNB4-GNG5 complex|GNAS-L-GNB4-GNG7 complex|GNAS-L-GNB4-GNG8 complex|GNG2-GNB4 complex|PDCL-GNB4 complex
GNB5	GNAI1- GNB5-GNG4 complex|GNAI1-GNB5-GNG10 complex|GNAI1-GNB5-GNG11 complex|GNAI1-GNB5-GNG12 complex|GNAI1-GNB5-GNG13 complex|GNAI1-GNB5-GNG2 complex|GNAI1-GNB5-GNG3 complex|GNAI1-GNB5-GNG5 complex|GNAI1-GNB5-GNG7 complex|GNAI1-GNB5-GNG8 complex|GNAI1-GNB5-GNGT1 complex|GNAS-L-GNB1-GNG1 complex|GNAS-L-GNB4-GNG2 complex|GNAS-L-GNB5-GNG10 complex|GNAS-L-GNB5-GNG11 complex|GNAS-L-GNB5-GNG12 complex|GNAS-L-GNB5-GNG13 complex|GNAS-L-GNB5-GNG3 complex|GNAS-L-GNB5-GNG4 complex|GNAS-L-GNB5-GNG5 complex|GNAS-L-GNB5-GNG7 complex|GNAS-L-GNB5-GNG8 complex|GNB5-CCT5 complex|GNB5-GNG2 complex|GNB5-GPR158-RGS6 complex|GNB5-GPR158-RGS7 complex|GNB5-GPR179-RGS11 complex|GNB5-GPR179-RGS6 complex|GNB5-GPR179-RGS7 complex|GNB5-GPR179-RGS9 complex|GNB5-PDCL complex|GNB5-RGS7 complex|GNB5-RGS7-RGS7BP complex|PDCL-GNB5-CCT complex
GNG10	GNAI1-GNB1-GNG10 complex|GNAI1-GNB2-GNG10 complex|GNAI1-GNB3-GNG10 complex|GNAI1-GNB4-GNG10 complex|GNAI1-GNB5-GNG10 complex|GNAS-L-GNB1-GNG10 complex|GNAS-L-GNB2-GNG10 complex|GNAS-L-GNB3-GNG10 complex|GNAS-L-GNB4-GNG10 complex|GNAS-L-GNB5-GNG10 complex
GNG11	GNAI1-GNB1-GNG11 complex|GNAI1-GNB2-GNG11 complex|GNAI1-GNB3-GNG11 complex|GNAI1-GNB4-GNG11 complex|GNAI1-GNB5-GNG11 complex|GNAS-L-GNB1-GNG11 complex|GNAS-L-GNB2-GNG11 complex|GNAS-L-GNB3-GNG11 complex|GNAS-L-GNB4-GNG11 complex|GNAS-L-GNB5-GNG11 complex
GNG12	GNAI1-GNB2-GNG12 complex|GNAI1-GNB3-GNG12 complex|GNAI1-GNB4-GNG12 complex|GNAI1-GNB5-GNG12 complex|GNAS-L-GNB1-GNG12 complex|GNAS-L-GNB2-GNG12 complex|GNAS-L-GNB3-GNG12 complex|GNAS-L-GNB4-GNG12 complex|GNAS-L-GNB5-GNG12 complex|GNB2-GNG12 complex
GNG13	GNAI1-GNB1-GNG13 complex|GNAI1-GNB2-GNG13 complex|GNAI1-GNB3-GNG13 complex|GNAI1-GNB4-GNG13 complex|GNAI1-GNB5-GNG13 complex|GNAS-L-GNB1-GNG13 complex|GNAS-L-GNB2-GNG13 complex|GNAS-L-GNB3-GNG13 complex|GNAS-L-GNB4-GNG13 complex|GNAS-L-GNB5-GNG13 complex
GNG2	ADGRA2-DOCK1-ELMO2-GNB1-GNG2 complex|ARRB2-GNB1-GNG2-PTH1R complex|G protein complex (BTK, GNG1, GNG2)|G protein complex (CACNA1A, GNB1, GNG2)|G protein complex (GNAS, GNB1, GNG2)|G protein complex (GNB1, GNG2, MCF2)|G protein complex (GNB1, GNG2, PTHR1)|G protein complex (GNG2, GNB2L1, RAF1)|G protein complex (HDAC4, GNB1, GNG2)|G protein complex (HDAC5, GNB1, GNG2)|GNAI1-GNB1-GNG2 complex|GNAI1-GNB2-GNG2 complex|GNAI1-GNB3-GNG2 complex|GNAI1-GNB4-GNG2 complex|GNAI1-GNB5-GNG2 complex|GNAS-L-GNB2-GNG2 complex|GNAS-L-GNB3-GNG2 complex|GNAS-L-GNB4-GNG2 complex|GNB1-GNG2 complex|GNB5-GNG2 complex|GNG2-GNB2 complex|KCTD12-GNB1-GNG2 complex|KCTD16-GNB1-GNG2 complex|KCTD8-GNB1-GNG2 complex
GNG3	GNAI1-GNB1-GNG3 complex|GNAI1-GNB2-GNG3 complex|GNAI1-GNB3-GNG3 complex|GNAI1-GNB4-GNG3 complex|GNAI1-GNB5-GNG3 complex|GNAS-L-GNB1-GNG3 complex|GNAS-L-GNB2-GNG3 complex|GNAS-L-GNB4-GNG3 complex|GNAS-L-GNB5-GNG3 complex|GNB2-GNG3 complex
GNG4	GNAI1- GNB5-GNG4 complex|GNAI1-GNB1-GNG4 complex|GNAI1-GNB2-GNG4 complex|GNAI1-GNB3-GNG4 complex|GNAI1-GNB4-GNG4 complex|GNAS-L-GNB1-GNG4 complex|GNAS-L-GNB2-GNG4 complex|GNAS-L-GNB3-GNG4 complex|GNAS-L-GNB4-GNG4 complex|GNAS-L-GNB5-GNG4 complex|GNG4-GNB2 complex
GNG5	GNAI1-GNB1-GNG5 complex|GNAI1-GNB2-GNG5 complex|GNAI1-GNB3-GNG5 complex|GNAI1-GNB4-GNG5 complex|GNAI1-GNB5-GNG5 complex|GNAS-L-GNB1-GNG5 complex|GNAS-L-GNB2-GNG5 complex|GNAS-L-GNB3-GNG5 complex|GNAS-L-GNB4-GNG5 complex|GNAS-L-GNB5-GNG5 complex
GNG7	GNAI1-GNB1-GNG7 complex|GNAI1-GNB2-GNG7 complex|GNAI1-GNB3-GNG7 complex|GNAI1-GNB4-GNG7 complex|GNAI1-GNB5-GNG7 complex|GNAS-L-GNB1-GNG7 complex|GNAS-L-GNB2-GNG7 complex|GNAS-L-GNB3-GNG7 complex|GNAS-L-GNB4-GNG7 complex|GNAS-L-GNB5-GNG7 complex|GNG7-GNB2 complex
GNG8	GNAI1-GNB1-GNG8 complex|GNAI1-GNB2-GNG8 complex|GNAI1-GNB3-GNG8 complex|GNAI1-GNB4-GNG8 complex|GNAI1-GNB5-GNG8 complex|GNAS-L-GNB1-GNG8 complex|GNAS-L-GNB2-GNG8 complex|GNAS-L-GNB3-GNG8 complex|GNAS-L-GNB4-GNG8 complex|GNAS-L-GNB5-GNG8 complex|GNB2-GNG8 complex
GNGT1	ADCYAP1-GNAS-GNB1-GNGT1-VIPR1 complex|GNAI1-GNB1-GNGT1-NTS-NTSR1 complex|GNAI1-GNB2-GNGT1 complex|GNAI1-GNB3-GNGT1 complex|GNAI1-GNB4-GNGT1 complex|GNAI1-GNB5-GNGT1 complex|GNAI1-GNGT1-GNB1 complex|GNAS-L-GNB1-GNG1 complex|GNAS-L-GNB2-GNG1 complex|GNAS-L-GNB3-GNG1 complex|GNAS-L-GNB4-GNG1 complex
GNGT2	GNGT2-GNB2 complex
GNL3	Nop56p-associated pre-rRNA complex
GNPAT	AGPS-GNPAT complex
GOLGA2	GM130-GRASP65 complex|GOLGA2-PCDC10-STK26 complex|STRIPAK complex
GOLGA7	GOLGA7-ZDHHC5 complex|GOLGA7-ZDHHC9 complex
GOLGA7B	GOLGA7B-ZDHHC5 complex
GOPC	CFTR-GOPC-STX6 complex
GORASP1	GM130-GRASP65 complex
GP1BA	GP1BA-VWF complex|Glycoprotein Ib-IX complex|Glycoprotein Ib-IX-V complex|ITGA2b-ITGB3-CD9-GP1b-CD47 complex
GP1BB	Glycoprotein Ib-IX complex|Glycoprotein Ib-IX-V complex
GP5	Glycoprotein Ib-IX-V complex
GP9	Glycoprotein Ib-IX complex|Glycoprotein Ib-IX-V complex
GPAA1	GAA1-GPI8-PIGT-PIG-PIGS complex
GPATCH1	C complex spliceosome
GPN1	GPN1-GPN3 complex
GPN3	GPN1-GPN3 complex
GPR143	GPR143-TYR complex
GPR158	GNB5-GPR158-RGS6 complex|GNB5-GPR158-RGS7 complex
GPR179	GNB5-GPR179-RGS11 complex|GNB5-GPR179-RGS6 complex|GNB5-GPR179-RGS7 complex|GNB5-GPR179-RGS9 complex
GPR26	HTR1A-GPR26 complex
GPS1	CNS-P53 complex|COP9 signalosome complex|CSA complex|CSA-POLIIa complex|CUL4B-DDB1-DTL-CSN complex|DDB2 complex|Ubiquitin E3 ligase (CUL1/2/3, CSN1/8, RBX1, SKP1/2)
GPS2	KAISO-NCOR complex|MSH4-MSH5-GPS2 complex|NCOR complex|NCOR-HDAC3 complex|SMRT complex
GPSM2	GNAI1-GPSM2-SAPCD2 complex|INSC-LGN-PAR3 complex|NuMA-LGN-G-alpha-i-1 complex
GPX1	GPX1-SBP1 complex
GRB2	ACK1-GBR2-AXL complex|ACK1-GRB2-ALK complex|ACK1-GRB2-EGFR complex|ACK1-GRB2-LTK1 complex|ACK1-GRB2-PPDGFR complex|ALK-GRB2-MIG6 complex|BCR-ABL (p185 fusion protein)-GRB2 complex|BCR-ABL (p210 fusion protein)-GRB2-SOS1 complex|CD44-ERBB2-GRB2-VAV2 complex|CIN85 complex (CIN85, CRK, BCAR1, CBL, PIK3R1, GRB2, SOS1)|Cbl-SLP-76-Grb2 complex, Fc receptor gamma-R1 stimulated|EGFR-CBL-GRB2 complex|GRB2--LTK-MIG6 complex|GRB2-MED28-NF2 complex|GRB2-MUC1-SOS1 complex|GRB2-PTPN6-SOS1 complex|GRB2-SHP-2 complex, PDGF stimulated|GRB2-SOS1 complex|GRB2-p36/p38-PLCG1-SOS1-ZAP70 complex|ITGA6-ITGB4-SHC1-GRB2 complex|LAT-GRB2 complex, Fyn-mLck(KA) or Syk kinase activated|LAT-PLC-gamma-1-p85-GRB2-CBL-VAV-SLP-76 signaling complex, C305 activated|LAT-PLC-gamma-1-p85-GRB2-SOS signaling complex, C305 activated|MIG6-GBR2-AXL complex|MIG6-GRB2-EGFR complex|MIG6-GRB2-PDGFR complex|PLC-gamma-2-SLP-76-Lyn-Grb2 complex|SHC-GRB2 complex|SLP-76-Cbl-Grb2-Shc complex, Fc receptor gamma-R1 stimulated
GRB7	GRB7-PTK2 complex
GRIA1	Stargazin-Glu1-mu2 complex|Stargazin-Glu1-mu3 complex
GRIA2	2AR-mGluR2 complex|PICK1-GRIP1-GLUR2 complex|Stargazin-Glu2A-mu2 complex|Stargazin-Glu2A-mu3 complex
GRIN1	CHRNA7-NMDAR1 complex|GRIN1-GRIN2b-PPR7|TIAM1-GRIN1 complex
GRIN2A	CHRNA7-GRIN2A complex|PSD95-FYN-NR2A complex
GRIN2B	GRIN1-GRIN2b-PPR7
GRIN3A	PP2A-NR3A complex
GRIP1	ESR1-GRIP1 complex|ESR1-JUN-GRIP1 complex|GRASP1-GRIP1 complex|PICK1-GRIP1-GLUR2 complex
GRIPAP1	GRASP1-GRIP1 complex
GRM1	GABA receptor GBR1-GBR2-mGluR1 receptor complex|Glutamate receptor 1 complex, metabotropic
GRM2	Glutamate receptor 2 complex, metabotropic|mGluR2-mGluR4 complex|mGluR2-mGluR7 complex|mGluR2-mGluR8 complex
GRM3	mGluR3-mGluR4 complex|mGluR3-mGluR7 complex|mGluR3-mGluR8 complex
GRM4	Glutamate receptor 4 complex, metabotropic|mGluR2-mGluR4 complex|mGluR3-mGluR4 complex
GRM5	A2A-mGluR5 receptor complex
GRM7	Glutamate receptor 7 complex, metabotropic|mGluR2-mGluR7 complex|mGluR3-mGluR7 complex
GRM8	Glutamate receptor 8 complex, metabotropic|mGluR2-mGluR8 complex|mGluR3-mGluR8 complex
GRN	CCNT1-GRN complex
GRPEL1	TIM23(motor) subcomplex (GRPEL1, GRPEL2), mitochondrial|TIM23(motor) subcomplex (GRPEL1, GRPEL2, HSPA9), mitochondrial|TIM23(motor) subcomplex (GRPEL1, GRPEL2, HSPA9, TIMM44), mitochondrial|TIM23(motor) subcomplex (GRPEL1, HSPA9), mitochondrial
GRPEL2	TIM23(motor) subcomplex (GRPEL1, GRPEL2), mitochondrial|TIM23(motor) subcomplex (GRPEL1, GRPEL2, HSPA9), mitochondrial|TIM23(motor) subcomplex (GRPEL1, GRPEL2, HSPA9, TIMM44), mitochondrial|TIM23(motor) subcomplex (GRPEL2, HSPA9), mitochondrial
GRSF1	protein complex (DDX28; DHX30; GRSF1; FASTKD2; FASTKD5)
GRWD1	CUL4B-DDB1-GRWD1 complex
GSE1	Anti-HDAC2 complex|BHC110 complex|anti-BHC110 complex
GSK3B	AXIN1-APC-CTNNB1-GSK3B complex|AXIN1-GID8-GSK3B complex|Axin-PP2A A-PP2A C-GSK3-beta-beta-catenin complex|CSF3R-FBXW7-GSK3B complex|CTNNB1-GSK3B-PHF19 complex|FBXW7-CDX2-GSK3B complex|FoxM1-Axin-GSK3beta complex|GSK3B-HSP90AA1-PKM2 complex|GSK3B-SRPK1-WNK1 complex|GSKIP-GSK3B-PRKAR2A complex|PRKAR2A-GSKIP-GSK3B-DNM1L complex|Prune-GSK3beta complex|TSC (TSC1, TSC2, AXIN, GSK3) complex|TSC2-GSK3-AXIN-DVL complex
GSKIP	GSKIP-GSK3B-PRKAR2A complex|GSKIP-PRKAR2B complex|PRKAR2A-GSKIP-GSK3B-DNM1L complex
GSN	Prune-Gelsolin complex
GSPT1	SURF complex|eRF1-eRF3-GTP-Mg(2+) complex
GSPT2	Phosphatidylinositol 4-kinase complex
GTF2A1	DA complex|DAB complex|TFIIA complex|TFIIA-TRF2 complex
GTF2A2	DA complex|DAB complex|TFIIA complex|TFIIA-TRF2 complex
GTF2B	BRCA1-RNA polymerase II complex|DAB complex|RNA polymerase II (RNAPII)|RNA polymerase II complex, chromatin structure modifying|RNA polymerase II holoenzyme complex|SMN-PolII-RHA complex
GTF2E1	BRCA1-RNA polymerase II complex|RNA polymerase II complex, chromatin structure modifying|RNA polymerase II holoenzyme complex|TFIIE complex
GTF2E2	BRCA1-RNA polymerase II complex|RNA polymerase II holoenzyme complex|TFIIE complex
GTF2F1	Actin-ribonucleoprotein complex (GTF2F1, HNRNPU, POLR2A)|BRCA1-RNA polymerase II complex|FCP1-associated protein complex|RNA polymerase II (RNAPII)|RNA polymerase II complex (RPB1, RAP74, CDK8, CYCC, SRB7, BAF190, BAF47), chromatin structure modifying|RNA polymerase II complex, (CDK8 complex), chromatin structure modifying|RNA polymerase II complex, chromatin structure modifying|RNA polymerase II holoenzyme complex|TFIIF complex (transcription factor IIF)
GTF2F2	BRCA1-RNA polymerase II complex|RNA polymerase II (RNAPII)|RNA polymerase II holoenzyme complex|TFIIF complex (transcription factor IIF)
GTF2H1	BRCA1-RNA polymerase II complex|RNA polymerase II complex, chromatin structure modifying|RNA polymerase II holoenzyme complex|Repairosome complex, XPA-specific|Repairosome sub-complex, XPA-specific|TFIIH transcription factor complex|TFIIH transcription factor core complex|TFIIH transcription factor subcomplex, cdk7-specific
GTF2H2	BRCA1-RNA polymerase II complex|RNA polymerase II holoenzyme complex|TFIIH transcription factor complex|TFIIH transcription factor core complex|TFIIH transcription factor subcomplex, cdk7-specific
GTF2H3	BRCA1-RNA polymerase II complex|RNA polymerase II complex, chromatin structure modifying|RNA polymerase II holoenzyme complex|TFIIH transcription factor complex|TFIIH transcription factor core complex|TFIIH transcription factor subcomplex, cdk7-specific
GTF2H4	BRCA1-RNA polymerase II complex|CF IIAm complex (Cleavage factor IIAm complex)|RNA polymerase II holoenzyme complex|TFIIH transcription factor complex|TFIIH transcription factor core complex|TFIIH transcription factor subcomplex, cdk7-specific
GTF2H5	TFIIH transcription factor complex
GTF2I	Anti-HDAC2 complex|GTF2I-PARP1-SFPQ complex|TNF-alpha/Nf-kappa B signaling complex (RPL6, RPL30, RPS13, CHUK, DDX3X, NFKB2, NFKBIB, REL, IKBKG, NFKB1, MAP3K8, RELB, GLG1, NFKBIA, RELA, TNIP2,  GTF2I)|XFIM complex|anti-BHC110 complex
GTF3A	5S-DNA-TFIIIA-TFIIIC2 subcomplex|5S-DNA-TFIIIA-TFIIIC2-TFIIIB subcomplex
GTF3C1	5S-DNA-TFIIIA-TFIIIC2 subcomplex|5S-DNA-TFIIIA-TFIIIC2-TFIIIB subcomplex|TFIIIC containing-TOP1-SUB1 complex|transcription factor IIIC multisubunit complex
GTF3C2	5S-DNA-TFIIIA-TFIIIC2 subcomplex|5S-DNA-TFIIIA-TFIIIC2-TFIIIB subcomplex|TFIIIC containing-TOP1-SUB1 complex|transcription factor IIIC multisubunit complex
GTF3C3	5S-DNA-TFIIIA-TFIIIC2 subcomplex|5S-DNA-TFIIIA-TFIIIC2-TFIIIB subcomplex|TFIIIC containing-TOP1-SUB1 complex|transcription factor IIIC multisubunit complex
GTF3C4	5S-DNA-TFIIIA-TFIIIC2 subcomplex|5S-DNA-TFIIIA-TFIIIC2-TFIIIB subcomplex|TFIIIC containing-TOP1-SUB1 complex|transcription factor IIIC multisubunit complex
GTF3C5	5S-DNA-TFIIIA-TFIIIC2 subcomplex|5S-DNA-TFIIIA-TFIIIC2-TFIIIB subcomplex|TFIIIC containing-TOP1-SUB1 complex|transcription factor IIIC multisubunit complex
GUCA1A	GUCA1A-GUCY2D-RD3 complex
GUCY1A1	Guanylyl cyclase, soluble (GUCY1A3, GUCY1B3)
GUCY1A2	Guanylyl cyclase, soluble (GUCY1A2, GUCY1B3)
GUCY1B1	Guanylyl cyclase, soluble (GUCY1A2, GUCY1B3)|Guanylyl cyclase, soluble (GUCY1A3, GUCY1B3)
GUCY2D	GUCA1A-GUCY2D-RD3 complex|GUCY2D-RD3 complex
GYPC	GPC-4.1R-p55 complex
H1-1	Emerin complex 24|Emerin complex 52|Emerin regulatory complex
H1-10	Nop56p-associated pre-rRNA complex
H1-3	HDAC3-H1.3-SMRT-N-Cor complex|Nop56p-associated pre-rRNA complex
H2AC1	CENP-A nucleosomal complex
H2AC18	CTCF-nucleophosmin-PARP-HIS-KPNA-LMNA-TOP complex
H2AC20	H2A-H2B-TDIF2-PCNA complex|core-histone (H2A/H2B/H3/H4)-TDIF2-TDT complex
H2AX	GammaH2AFX-NDHII-Ku70-DNA complex|H2AX complex I|H2AX complex II|H2AX complex, isolated from cells without IR exposure|MDC1-H2AFX-TP53BP1 complex
H2AZ1	CTCF-nucleophosmin-PARP-HIS-KPNA-LMNA-TOP complex|H2A.Z histone-exchange complex p400/TIP60|SRCAP complex
H2BC14	H2AX complex II|Nop56p-associated pre-rRNA complex
H2BC21	H2A-H2B-TDIF2-PCNA complex|core-histone (H2A/H2B/H3/H4)-TDIF2-TDT complex
H2BC26	H2AX complex I|H2AX complex II|H2AX complex, isolated from cells without IR exposure|IFI16-H2B-BRCA1 complex
H2BC3	CENP-A nucleosomal complex|H2AX complex II
H2BC4	H2A.Z histone-exchange complex p400/TIP60
H3-3A	Histone H3.3 complex
H3C1	ASF1-histone containing complex|ASF1-interacting protein complex|Codanin-1-Asf1\u2013histone H3.1-histone H4\u2013importin-4 complex,  cytosolic|Emerin complex 24|Emerin complex 32|Emerin regulatory complex|H2A.Z histone-exchange complex p400/TIP60|Histone H3.1 complex|Histone-2-Histone-4-ASF1A-MCM2 complex|MASH1 promoter-coactivator complex|TLE-Histone H3 complex|core-histone (H2A/H2B/H3/H4)-TDIF2-TDT complex
H4C1	CENP-A nucleosomal complex|CENPA-histone H4-HJURP complex|Codanin-1-Asf1\u2013histone H3.1-histone H4\u2013importin-4 complex,  cytosolic|H2A.Z histone-exchange complex p400/TIP60|H2AX complex II|H2AX complex, isolated from cells without IR exposure|Histone H3.1 complex|Histone H3.3 complex|Histone-2-Histone-4-ASF1A-MCM2 complex|MASH1 promoter-coactivator complex|core-histone (H2A/H2B/H3/H4)-TDIF2-TDT complex
HADHA	3-Hydroxyacyl CoA dehydrogenase
HADHB	3-Hydroxyacyl CoA dehydrogenase
HAP1	AHI1-HAP1 complex
HAS1	HAS1-HAS2 complex
HAS2	HAS1-HAS2 complex|HAS2-HAS3
HAS3	HAS2-HAS3
HAT1	Histone H3.1 complex|Histone H3.3 complex
HAUS1	HAUS augmin-like complex
HAUS2	HAUS augmin-like complex
HAUS3	HAUS augmin-like complex
HAUS4	HAUS augmin-like complex
HAUS5	HAUS augmin-like complex
HAUS6	HAUS augmin-like complex
HAUS7	HAUS augmin-like complex
HAUS8	HAUS augmin-like complex
HAX1	G alpha-13-Hax-1-cortactin-Rac complex|HAX-1-XIAP complex|prohibitin 2 complex, mitochondrial
HBB	BCHE-HBB complex
HCFC1	ASXL1-HCFC1-OGT complex|HCF-1 complex|HCF1-THAP11 complex|HCFC1-THAP11-ZNF143 complex|MLL-HCF complex|MLL1 complex|MLL1-WDR5 complex|MLL2 complex|NSL complex|Set1A complex|Set1B complex
HCFC2	MLL2 complex|Set1A complex|Set1B complex
HCN1	HCN1-HCN3 complex|HCN1-HCN4 complex
HCN2	HCN2-HCN4 complex
HCN3	HCN1-HCN3 complex|HCN3-HCN4 complex
HCN4	HCN1-HCN4 complex|HCN2-HCN4 complex|HCN3-HCN4 complex
HCST	MICA-KLRK1-HCST complex|MICB-KLRK1-HCST complex|ULBP1-KLRK1-HCST complex|ULBP2-KLRK1-HCST complex|ULBP3-KLRK1-HCST complex
HDAC1	AJUBA-GFI1-HDAC1 complex|ALL-1 supercomplex|APBB1-TSHZ3-HDAC1 complex|Anti-HDAC2 complex|BAZ2A-DNMT1-DNMT3B-HDAC1-SMARCA5 complex|BHC complex|BHC110 complex|BRAF53-BRCA2 complex|BRCA1-HDAC1-HDAC2 complex|BRM-SIN3A complex|BRMS1-mSin3A corepressor complex|CBF1-HDAC1-SMRT complex|CDYL-complex|CREBBP-EP300-HDAC1-SP1-SP3 complex|CTBP2-FOXP3-HDAC1 complex|CoREST-HDAC complex|CtBP complex|CtBP core complex|DNMT1-RB1-HDAC1-E2F1 complex|DNMT1-associated protein complex|DNMT3B complex|DNTTIP1-ZNF541-HDAC1-HDAC2 complex|Emerin complex 32|Emerin regulatory complex|HCF-1 complex|HDAC1-HDAC2-MIER1-MIER2 complex|HDAC1-MYCN-SP1 complex|HDAC1-associated core complex cI|HDAC1-associated core complex cII|HDAC1-associated protein complex|HERP1/HEY2-NCOR-SIN3A complex|ING2 complex|LARC complex (LCR-associated remodeling complex)|LSD1 complex|MBD3-NuRD complex|MTA1 complex|MTA1-HDAC core complex|MTA2 complex|MeCP1 complex|MeCP2-SIN3A-HDAC complex|Mi2/NuRD complex|Mi2/NuRD-BCL6-MTA3 complex|MiDAC complex|NCOR-SIN3-HDAC-HESX1 complex|NCOR-SIN3-HDAC1 complex|NCOR2 complex|NK-3-Groucho-HIPK2-SIN3A-RbpA48-HDAC1 complex|NRD complex (Nucleosome remodeling and deacetylation complex)|NuRD.1 complex|PID complex|PRC1.6a complex|PRC1.6b complex|PU.1-SIN3A-HDAC complex|RB1-HDAC1-BRG1 complex|RBL2 complex (DNMT1, E2F4, E2F5, HDAC1, RBL2, SUV39H1)|RBL2 complex (EP300, E2F4, E2F5, HDAC1, RBL2, SUV39H1)|Rb-HDAC1 complex|SAP complex (Sin3-associated protein complex)|SIN3 complex|SIN3-HDAC-SAP30-ARID4 complex|SIN3-ING1b complex I|SIN3-ING1b complex II|SIN3-SAP25 complex|SIX3-LSD1-NuRD(MTA3) Complex|SKI-NCOR1-SIN3A-HDAC1 complex|SMAD2-SMAD4-FAST1-TGIF-HDAC1 complex, TGF(beta) induced|SMAD3-cSKI-SIN3A-HDAC1 complex|SMAR1-HDAC1-SIN3A-SIN3B repressor complex|SMAR1-HDAC1-SIN3A-SIN3B-p107-p130 repressor complex|SNF2h-cohesin-NuRD complex|SWI/SNF-related chromatin-remodeling complex|XFIM complex|anti-BHC110 complex|mSin3A corepressor complex|mSin3A-HDAC1-HDAC2 complex|p33ING1b-HDAC1 complex
