NCBI GeneID	Symbol	Description	Common Name	Transcripts
3604	TNFRSF9	TNF receptor superfamily member 9	human	5
3609	ILF3	interleukin enhancer binding factor 3	human	32
3738	KCNA3	potassium voltage-gated channel subfamily A member 3	human	3
3816	KLK1	kallikrein 1	human	1
3981	LIG4	DNA ligase 4	human	12
4068	SH2D1A	SH2 domain containing 1A	human	2
4069	LYZ	lysozyme	human	1
406900	MIR106B	microRNA 106b	human	1
406904	MIR1-1	microRNA 1-1	human	1
406959	MIR183	microRNA 183	human	1
407000	MIR218-1	microRNA 218-1	human	1
407026	MIR29C	microRNA 29c	human	1
407053	MIR96	microRNA 96	human	1
412	STS	steroid sulfatase	human	8
4502	MT2A	metallothionein 2A	human	1
4535	MT-ND1	NADH dehydrogenase subunit 1	human	
4638	MYLK	myosin light chain kinase	human	43
4738	NEDD8	NEDD8 ubiquitin like modifier	human	1
4739	NEDD9	neural precursor cell expressed, developmentally down-regulated 9	human	5
4841	NONO	non-POU domain containing octamer binding	human	4
4926	NUMA1	nuclear mitotic apparatus protein 1	human	101
5029	P2RY2	purinergic receptor P2Y2	human	3
5034	P4HB	prolyl 4-hydroxylase subunit beta	human	1
50848	F11R	F11 receptor	human	6
51083	GAL	galanin and GMAP prepropeptide	human	1
52	ACP1	acid phosphatase 1	human	4
5338	PLD2	phospholipase D2	human	8
5339	PLEC	plectin	human	80
5360	PLTP	phospholipid transfer protein	human	5
54205	CYCS	cytochrome c, somatic	human	1
54901	CDKAL1	CDK5 regulatory subunit associated protein 1 like 1	human	32
5518	PPP2R1A	protein phosphatase 2 scaffold subunit Aalpha	human	3
5582	PRKCG	protein kinase C gamma	human	4
55869	HDAC8	histone deacetylase 8	human	30
55894	DEFB103B	defensin beta 103B	human	1
5592	PRKG1	protein kinase cGMP-dependent 1	human	9
5605	MAP2K2	mitogen-activated protein kinase kinase 2	human	5
5629	PROX1	prospero homeobox 1	human	24
5660	PSAP	prosaposin	human	3
5697	PYY	peptide YY	human	3
57016	AKR1B10	aldo-keto reductase family 1 member B10	human	7
5730	PTGDS	prostaglandin D2 synthase	human	1
5732	PTGER2	prostaglandin E receptor 2	human	1
574456	MIR497	microRNA 497	human	1
57674	RNF213	ring finger protein 213	human	22
5817	PVR	PVR cell adhesion molecule	human	4
5873	RAB27A	RAB27A, member RAS oncogene family	human	29
5896	RAG1	recombination activating 1	human	7
5971	RELB	RELB proto-oncogene, NF-kB subunit	human	8
6097	RORC	RAR related orphan receptor C	human	6
6195	RPS6KA1	ribosomal protein S6 kinase A1	human	9
6241	RRM2	ribonucleotide reductase regulatory subunit M2	human	3
6277	S100A6	S100 calcium binding protein A6	human	3
6326	SCN2A	sodium voltage-gated channel alpha subunit 2	human	5
6338	SCNN1B	sodium channel epithelial 1 subunit beta	human	8
6385	SDC4	syndecan 4	human	3
6421	SFPQ	splicing factor proline and glutamine rich	human	13
6440	SFTPC	surfactant protein C	human	16
6495	SIX1	SIX homeobox 1	human	4
654	BMP6	bone morphogenetic protein 6	human	1
6608	SMO	smoothened, frizzled class receptor	human	3
6664	SOX11	SRY-box transcription factor 11	human	1
6768	ST14	ST14 transmembrane serine protease matriptase	human	1
6770	STAR	steroidogenic acute regulatory protein	human	1
6781	STC1	stanniocalcin 1	human	1
6789	STK4	serine/threonine kinase 4	human	15
6804	STX1A	syntaxin 1A	human	6
6910	TBX5	T-box transcription factor 5	human	4
6948	TCN2	transcobalamin 2	human	2
70	ACTC1	actin alpha cardiac muscle 1	human	6
7049	TGFBR3	transforming growth factor beta receptor 3	human	20
7083	TK1	thymidine kinase 1	human	3
7170	TPM3	tropomyosin 3	human	17
7222	TRPC3	transient receptor potential cation channel subfamily C member 3	human	13
7307	U2AF1	U2 small nuclear RNA auxiliary factor 1	human	13
7376	NR1H2	nuclear receptor subfamily 1 group H member 2	human	2
7942	TFEB	transcription factor EB	human	10
79648	MCPH1	microcephalin 1	human	27
815	CAMK2A	calcium/calmodulin dependent protein kinase II alpha	human	5
8243	SMC1A	structural maintenance of chromosomes 1A	human	2
8313	AXIN2	axin 2	human	22
85358	SHANK3	SH3 and multiple ankyrin repeat domains 3	human	1
8554	PIAS1	protein inhibitor of activated STAT 1	human	12
8650	NUMB	NUMB endocytic adaptor protein	human	5
885	CCK	cholecystokinin	human	2
8915	BCL10	BCL10 immune signaling adaptor	human	7
896	CCND3	cyclin D3	human	20
9378	NRXN1	neurexin 1	human	25
9734	HDAC9	histone deacetylase 9	human	40
9846	GAB2	GRB2 associated binding protein 2	human	11
990	CDC6	cell division cycle 6	human	7
9965	FGF19	fibroblast growth factor 19	human	1
10014	HDAC5	histone deacetylase 5	human	26
10075	HUWE1	HECT, UBA and WWE domain containing E3 ubiquitin protein ligase 1	human	99
101180976	IFNL4	interferon lambda 4 (gene/pseudogene)	human	2
10131	TRAP1	TNF receptor associated protein 1	human	4
10159	ATP6AP2	ATPase H+ transporting accessory protein 2	human	1
10165	SLC25A13	solute carrier family 25 member 13	human	14
10452	TOMM40	translocase of outer mitochondrial membrane 40	human	7
10468	FST	follistatin	human	21
10498	CARM1	coactivator associated arginine methyltransferase 1	human	7
10661	KLF1	KLF transcription factor 1	human	1
10666	CD226	CD226 molecule	human	19
10725	NFAT5	nuclear factor of activated T cells 5	human	29
10747	MASP2	MBL associated serine protease 2	human	8
10856	RUVBL2	RuvB like AAA ATPase 2	human	4
10911	UTS2	urotensin 2	human	6
11035	RIPK3	receptor interacting serine/threonine kinase 3	human	1
11277	TREX1	three prime repair exonuclease 1	human	2
116085	SLC22A12	solute carrier family 22 member 12	human	8
1184	CLCN5	chloride voltage-gated channel 5	human	12
1192	CLIC1	chloride intracellular channel 1	human	3
1215	CMA1	chymase 1	human	2
123	PLIN2	perilipin 2	human	3
1230	CCR1	C-C motif chemokine receptor 1	human	1
1301	COL11A1	collagen type XI alpha 1 chain	human	15
134	ADORA1	adenosine A1 receptor	human	6
136	ADORA2B	adenosine A2b receptor	human	13
148	ADRA1A	adrenoceptor alpha 1A	human	19
1511	CTSG	cathepsin G	human	3
1584	CYP11B1	cytochrome P450 family 11 subfamily B member 1	human	2
1593	CYP27A1	cytochrome P450 family 27 subfamily A member 1	human	1
1643	DDB2	damage specific DNA binding protein 2	human	10
1644	DDC	dopa decarboxylase	human	13
1667	DEFA1	defensin alpha 1	human	4
1759	DNM1	dynamin 1	human	6
1827	RCAN1	regulator of calcineurin 1	human	8
1830	DSG3	desmoglein 3	human	3
1889	ECE1	endothelin converting enzyme 1	human	12
200315	APOBEC3A	apolipoprotein B mRNA editing enzyme catalytic subunit 3A	human	2
200316	APOBEC3F	apolipoprotein B mRNA editing enzyme catalytic subunit 3F	human	8
2071	ERCC3	ERCC excision repair 3, TFIIH core complex helicase subunit	human	7
2235	FECH	ferrochelatase	human	7
226	ALDOA	aldolase, fructose-bisphosphate A	human	4
2280	FKBP1A	FKBP prolyl isomerase 1A	human	3
22974	TPX2	TPX2 microtubule nucleation factor	human	11
2304	FOXE1	forkhead box E1	human	1
23135	KDM6B	lysine demethylase 6B	human	2
23213	SULF1	sulfatase 1	human	43
23512	SUZ12	SUZ12 polycomb repressive complex 2 subunit	human	12
23532	PRAME	PRAME nuclear receptor transcriptional regulator	human	25
23643	LY96	lymphocyte antigen 96	human	10
23657	SLC7A11	solute carrier family 7 member 11	human	14
2520	GAST	gastrin	human	1
253260	RICTOR	RPTOR independent companion of MTOR complex 2	human	19
2549	GAB1	GRB2 associated binding protein 1	human	29
2555	GABRA2	gamma-aminobutyric acid type A receptor subunit alpha2	human	24
2572	GAD2	glutamate decarboxylase 2	human	2
25913	POT1	protection of telomeres 1	human	5
26047	CNTNAP2	contactin associated protein 2	human	3
26121	PRPF31	pre-mRNA processing factor 31	human	25
26524	LATS2	large tumor suppressor kinase 2	human	14
27032	ATP2C1	ATPase secretory pathway Ca2+ transporting 1	human	30
2771	GNAI2	G protein subunit alpha i2	human	9
2796	GNRH1	gonadotropin releasing hormone 1	human	2
2821	GPI	glucose-6-phosphate isomerase	human	10
282618	IFNL1	interferon lambda 1	human	1
2879	GPX4	glutathione peroxidase 4	human	4
29072	SETD2	SET domain containing 2, histone lysine methyltransferase	human	12
2931	GSK3A	glycogen synthase kinase 3 alpha	human	3
2969	GTF2I	general transcription factor IIi	human	6
3087	HHEX	hematopoietically expressed homeobox	human	1
3183	HNRNPC	heterogeneous nuclear ribonucleoprotein C	human	32
3192	HNRNPU	heterogeneous nuclear ribonucleoprotein U	human	2
3394	IRF8	interferon regulatory factor 8	human	4
34	ACADM	acyl-CoA dehydrogenase medium chain	human	5
3426	CFI	complement factor I	human	26
3561	IL2RG	interleukin 2 receptor subunit gamma	human	3
3587	IL10RA	interleukin 10 receptor subunit alpha	human	8
3636	INPPL1	inositol polyphosphate phosphatase like 1	human	17
3640	INSL3	insulin like 3	human	2
3672	ITGA1	integrin subunit alpha 1	human	1
3726	JUNB	JunB proto-oncogene, AP-1 transcription factor subunit	human	1
3741	KCNA5	potassium voltage-gated channel subfamily A member 5	human	1
3836	KPNA1	karyopherin subunit alpha 1	human	6
3848	KRT1	keratin 1	human	1
3872	KRT17	keratin 17	human	1
388	RHOB	ras homolog family member B	human	1
3916	LAMP1	lysosomal associated membrane protein 1	human	4
396	ARHGDIA	Rho GDP dissociation inhibitor alpha	human	10
3984	LIMK1	LIM domain kinase 1	human	2
4005	LMO2	LIM domain only 2	human	13
406892	MIR100	microRNA 100	human	1
406901	MIR107	microRNA 107	human	1
406919	MIR130A	microRNA 130a	human	1
407019	MIR27B	microRNA 27b	human	1
407037	MIR320A	microRNA 320a	human	1
407042	MIR34C	microRNA 34c	human	1
407048	MIR92A1	microRNA 92a-1	human	1
4205	MEF2A	myocyte enhancer factor 2A	human	102
4240	MFGE8	milk fat globule EGF and factor V/VIII domain containing	human	15
442890	MIR133B	microRNA 133b	human	1
442904	MIR335	microRNA 335	human	1
4481	MSR1	macrophage scavenger receptor 1	human	6
4549	MT-RNR1	s-rRNA	human	
4646	MYO6	myosin VI	human	23
4680	CEACAM6	CEA cell adhesion molecule 6	human	3
4693	NDP	norrin cystine knot growth factor NDP	human	1
4758	NEU1	neuraminidase 1	human	1
4920	ROR2	receptor tyrosine kinase like orphan receptor 2	human	17
4938	OAS1	2'-5'-oligoadenylate synthetase 1	human	24
494336	MIR424	microRNA 424	human	1
5048	PAFAH1B1	platelet activating factor acetylhydrolase 1b regulatory subunit 1	human	17
5055	SERPINB2	serpin family B member 2	human	4
5087	PBX1	PBX homeobox 1	human	18
5093	PCBP1	poly(rC) binding protein 1	human	1
51135	IRAK4	interleukin 1 receptor associated kinase 4	human	25
5160	PDHA1	pyruvate dehydrogenase E1 subunit alpha 1	human	6
5184	PEPD	peptidase D	human	3
5209	PFKFB3	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3	human	30
5289	PIK3C3	phosphatidylinositol 3-kinase catalytic subunit type 3	human	8
5313	PKLR	pyruvate kinase L/R	human	15
53335	BCL11A	BCL11 transcription factor A	human	38
5366	PMAIP1	phorbol-12-myristate-13-acetate-induced protein 1	human	6
5368	PNOC	prepronociceptin	human	6
5449	POU1F1	POU class 1 homeobox 1	human	2
55503	TRPV6	transient receptor potential cation channel subfamily V member 6	human	1
5563	PRKAA2	protein kinase AMP-activated catalytic subunit alpha 2	human	3
5564	PRKAB1	protein kinase AMP-activated non-catalytic subunit beta 1	human	3
56339	METTL3	methyltransferase 3, N6-adenosine-methyltransferase complex catalytic subunit	human	7
5653	KLK6	kallikrein related peptidase 6	human	7
57104	PNPLA2	patatin like phospholipase domain containing 2	human	1
57154	SMURF1	SMAD specific E3 ubiquitin protein ligase 1	human	7
57521	RPTOR	regulatory associated protein of MTOR complex 1	human	2
57591	MRTFA	myocardin related transcription factor A	human	5
57761	TRIB3	tribbles pseudokinase 3	human	6
58157	NGB	neuroglobin	human	1
5893	RAD52	RAD52 homolog, DNA repair protein	human	40
5928	RBBP4	RB binding protein 4, chromatin remodeling factor	human	3
5932	RBBP8	RB binding protein 8, endonuclease	human	24
5934	RBL2	RB transcriptional corepressor like 2	human	9
5961	PRPH2	peripherin 2	human	4
5999	RGS4	regulator of G protein signaling 4	human	4
6019	RLN2	relaxin 2	human	13
6091	ROBO1	roundabout guidance receptor 1	human	32
6223	RPS19	ribosomal protein S19	human	4
6247	RS1	retinoschisin 1	human	3
6286	S100P	S100 calcium binding protein P	human	1
6310	ATXN1	ataxin 1	human	7
6317	SERPINB3	serpin family B member 3	human	1
633	BGN	biglycan	human	3
6367	CCL22	C-C motif chemokine ligand 22	human	5
6383	SDC2	syndecan 2	human	6
6414	SELENOP	selenoprotein P	human	3
64581	CLEC7A	C-type lectin domain containing 7A	human	16
6470	SHMT1	serine hydroxymethyltransferase 1	human	21
6505	SLC1A1	solute carrier family 1 member 1	human	14
6507	SLC1A3	solute carrier family 1 member 3	human	11
6510	SLC1A5	solute carrier family 1 member 5	human	3
65125	WNK1	WNK lysine deficient protein kinase 1	human	98
6523	SLC5A1	solute carrier family 5 member 1	human	4
657	BMPR1A	bone morphogenetic protein receptor type 1A	human	37
6583	SLC22A4	solute carrier family 22 member 4	human	8
6623	SNCG	synuclein gamma	human	5
6792	CDKL5	cyclin dependent kinase like 5	human	3
6886	TAL1	TAL bHLH transcription factor 1, erythroid differentiation factor	human	14
6921	ELOC	elongin C	human	31
6957	TRB	T cell receptor beta locus	human	
7114	TMSB4X	thymosin beta 4 X-linked	human	1
7293	TNFRSF4	TNF receptor superfamily member 4	human	9
7403	KDM6A	lysine demethylase 6A	human	34
7516	XRCC2	X-ray repair cross complementing 2	human	1
7533	YWHAH	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta	human	1
80380	PDCD1LG2	programmed cell death 1 ligand 2	human	3
8106	PABPN1	poly(A) binding protein nuclear 1	human	3
818	CAMK2G	calcium/calmodulin dependent protein kinase II gamma	human	107
8239	USP9X	ubiquitin specific peptidase 9 X-linked	human	12
824	CAPN2	calpain 2	human	4
8301	PICALM	phosphatidylinositol binding clathrin assembly protein	human	58
8607	RUVBL1	RuvB like AAA ATPase 1	human	12
871	SERPINH1	serpin family H member 1	human	8
8754	ADAM9	ADAM metallopeptidase domain 9	human	10
8828	NRP2	neuropilin 2	human	26
8840	CCN4	cellular communication network factor 4	human	12
887	CCKBR	cholecystokinin B receptor	human	3
889	KRIT1	KRIT1 ankyrin repeat containing	human	34
8912	CACNA1H	calcium voltage-gated channel subunit alpha1 H	human	28
9020	MAP3K14	mitogen-activated protein kinase kinase kinase 14	human	7
925	CD8A	CD8 subunit alpha	human	9
9261	MAPKAPK2	MAPK activated protein kinase 2	human	8
9388	LIPG	lipase G, endothelial type	human	4
9401	RECQL4	RecQ like helicase 4	human	42
9447	AIM2	absent in melanoma 2	human	13
945	CD33	CD33 molecule	human	18
9656	MDC1	mediator of DNA damage checkpoint 1	human	134
996	CDC27	cell division cycle 27	human	26
9961	MVP	major vault protein	human	4
100132285	KIR2DS2	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 2	human	8
100288687	DUX4	double homeobox 4	human	4
100507056	CCAT1	colon cancer associated transcript 1	human	1
10197	PSME3	proteasome activator subunit 3	human	7
1022	CDK7	cyclin dependent kinase 7	human	15
10333	TLR6	toll like receptor 6	human	8
10457	GPNMB	glycoprotein nmb	human	7
10507	SEMA4D	semaphorin 4D	human	97
10733	PLK4	polo like kinase 4	human	9
1075	CTSC	cathepsin C	human	3
10765	KDM5B	lysine demethylase 5B	human	8
10857	PGRMC1	progesterone receptor membrane component 1	human	2
10935	PRDX3	peroxiredoxin 3	human	6
10963	STIP1	stress induced phosphoprotein 1	human	3
10984	KCNQ1OT1	KCNQ1 opposite strand/antisense transcript 1	human	1
11004	KIF2C	kinesin family member 2C	human	8
1103	CHAT	choline O-acetyltransferase	human	7
11073	TOPBP1	DNA topoisomerase II binding protein 1	human	14
1108	CHD4	chromodomain helicase DNA binding protein 4	human	3
11091	WDR5	WD repeat domain 5	human	15
11140	CDC37	cell division cycle 37, HSP90 cochaperone	human	1
1121	CHM	CHM Rab escort protein	human	12
1128	CHRM1	cholinergic receptor muscarinic 1	human	3
11335	CBX3	chromobox 3	human	5
11338	U2AF2	U2 small nuclear RNA auxiliary factor 2	human	6
114609	TIRAP	TIR domain containing adaptor protein	human	4
115352	FCRL3	Fc receptor like 3	human	8
1158	CKM	creatine kinase, M-type	human	1
121504	H4C16	H4 histone 16	human	1
1326	MAP3K8	mitogen-activated protein kinase kinase kinase 8	human	14
1376	CPT2	carnitine palmitoyltransferase 2	human	2
1390	CREM	cAMP responsive element modulator	human	107
140	ADORA3	adenosine A3 receptor	human	3
1452	CSNK1A1	casein kinase 1 alpha 1	human	4
1454	CSNK1E	casein kinase 1 epsilon	human	2
1485	CTAG1B	cancer/testis antigen 1B	human	1
1551	CYP3A7	cytochrome P450 family 3 subfamily A member 7	human	1
1581	CYP7A1	cytochrome P450 family 7 subfamily A member 1	human	1
1601	DAB2	DAB adaptor protein 2	human	2
1605	DAG1	dystroglycan 1	human	95
1633	DCK	deoxycytidine kinase	human	3
164656	TMPRSS6	transmembrane serine protease 6	human	14
170302	ARX	aristaless related homeobox	human	1
1778	DYNC1H1	dynein cytoplasmic 1 heavy chain 1	human	1
1828	DSG1	desmoglein 1	human	1
187	APLNR	apelin receptor	human	2
1984	EIF5A	eukaryotic translation initiation factor 5A	human	25
2035	EPB41	erythrocyte membrane protein band 4.1	human	118
21	ABCA3	ATP binding cassette subfamily A member 3	human	1
2131	EXT1	exostosin glycosyltransferase 1	human	1
2176	FANCC	FA complementation group C	human	40
2220	FCN2	ficolin 2	human	6
2273	FHL1	four and a half LIM domains 1	human	28
22919	MAPRE1	microtubule associated protein RP/EB family member 1	human	3
22925	PLA2R1	phospholipase A2 receptor 1	human	21
23175	LPIN1	lipin 1	human	14
2318	FLNC	filamin C	human	2
23286	WWC1	WW and C2 domain containing 1	human	33
23326	USP22	ubiquitin specific peptidase 22	human	5
23400	ATP13A2	ATPase cation transporting 13A2	human	123
23495	TNFRSF13B	TNF receptor superfamily member 13B	human	1
2525	FUT3	fucosyltransferase 3 (Lewis blood group)	human	12
25836	NIPBL	NIPBL cohesin loading factor	human	14
26278	SACS	sacsin molecular chaperone	human	30
2648	KAT2A	lysine acetyltransferase 2A	human	4
2658	GDF2	growth differentiation factor 2	human	1
26580	BSCL2	BSCL2 lipid droplet biogenesis associated, seipin	human	5
2671	GFER	growth factor, augmenter of liver regeneration	human	1
27040	LAT	linker for activation of T cells	human	4
2767	GNA11	G protein subunit alpha 11	human	1
2878	GPX3	glutathione peroxidase 3	human	2
288	ANK3	ankyrin 3	human	5
2890	GRIA1	glutamate ionotropic receptor AMPA type subunit 1	human	16
2915	GRM5	glutamate metabotropic receptor 5	human	5
2959	GTF2B	general transcription factor IIB	human	3
3015	H2AZ1	H2A.Z variant histone 1	human	1
3026	HABP2	hyaluronan binding protein 2	human	2
3054	HCFC1	host cell factor C1	human	32
3068	HDGF	heparin binding growth factor	human	19
3074	HEXB	hexosaminidase subunit beta	human	2
30816	ERVW-1	endogenous retrovirus group W member 1, envelope	human	2
3113	HLA-DPA1	major histocompatibility complex, class II, DP alpha 1	human	8
3161	HMMR	hyaluronan mediated motility receptor	human	4
3191	HNRNPL	heterogeneous nuclear ribonucleoprotein L	human	22
3269	HRH1	histamine receptor H1	human	4
3425	IDUA	alpha-L-iduronidase	human	16
344	APOC2	apolipoprotein C2	human	1
3560	IL2RB	interleukin 2 receptor subunit beta	human	3
3621	ING1	inhibitor of growth family member 1	human	5
3635	INPP5D	inositol polyphosphate-5-phosphatase D	human	8
3687	ITGAX	integrin subunit alpha X	human	12
3802	KIR2DL1	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 1	human	3
3803	KIR2DL2	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 2	human	6
3804	KIR2DL3	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 3	human	1
3805	KIR2DL4	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4	human	6
3813	KIR3DS1	killer cell immunoglobulin like receptor, three Ig domains and short cytoplasmic tail 1	human	13
3855	KRT7	keratin 7	human	9
3858	KRT10	keratin 10	human	2
386653	IL31	interleukin 31	human	1
387129	NPSR1	neuropeptide S receptor 1	human	5
3902	LAG3	lymphocyte activating 3	human	3
3914	LAMB3	laminin subunit beta 3	human	10
3929	LBP	lipopolysaccharide binding protein	human	1
406899	MIR106A	microRNA 106a	human	1
406929	MIR138-1	microRNA 138-1	human	1
406943	MIR152	microRNA 152	human	1
406953	MIR18A	microRNA 18a	human	1
406967	MIR192	microRNA 192	human	1
406968	MIR193A	microRNA 193a	human	1
407009	MIR224	microRNA 224	human	1
407012	MIR24-1	microRNA 24-1	human	1
407041	MIR34B	microRNA 34b	human	1
407043	MIR7-1	microRNA 7-1	human	1
407975	MIR17HG	miR-17-92a-1 cluster host gene	human	2
4082	MARCKS	myristoylated alanine rich protein kinase C substrate	human	1
4133	MAP2	microtubule associated protein 2	human	114
4159	MC3R	melanocortin 3 receptor	human	1
4214	MAP3K1	mitogen-activated protein kinase kinase kinase 1	human	8
4360	MRC1	mannose receptor C-type 1	human	1
442906	MIR338	microRNA 338	human	1
4440	MSI1	musashi RNA binding protein 1	human	31
445	ASS1	argininosuccinate synthase 1	human	2
4521	NUDT1	nudix hydrolase 1	human	11
4605	MYBL2	MYB proto-oncogene like 2	human	2
4688	NCF2	neutrophil cytosolic factor 2	human	17
478	ATP1A3	ATPase Na+/K+ transporting subunit alpha 3	human	5
4837	NNMT	nicotinamide N-methyltransferase	human	5
4838	NODAL	nodal growth differentiation factor	human	4
4856	CCN3	cellular communication network factor 3	human	1
4880	NPPC	natriuretic peptide C	human	3
4891	SLC11A2	solute carrier family 11 member 2	human	44
4919	ROR1	receptor tyrosine kinase like orphan receptor 1	human	8
4921	DDR2	discoidin domain receptor tyrosine kinase 2	human	12
4922	NTS	neurotensin	human	1
494327	MIR378A	microRNA 378a	human	1
4948	OCA2	OCA2 melanosomal transmembrane protein	human	61
4952	OCRL	OCRL inositol polyphosphate-5-phosphatase	human	3
4953	ODC1	ornithine decarboxylase 1	human	4
4985	OPRD1	opioid receptor delta 1	human	1
4986	OPRK1	opioid receptor kappa 1	human	3
5004	ORM1	orosomucoid 1	human	1
50506	DUOX2	dual oxidase 2	human	2
5083	PAX9	paired box 9	human	2
5094	PCBP2	poly(rC) binding protein 2	human	7
51147	ING4	inhibitor of growth family member 4	human	14
5122	PCSK1	proprotein convertase subtilisin/kexin type 1	human	2
51330	TNFRSF12A	TNF receptor superfamily member 12A	human	1
51341	ZBTB7A	zinc finger and BTB domain containing 7A	human	6
51426	POLK	DNA polymerase kappa	human	29
5173	PDYN	prodynorphin	human	21
5266	PI3	peptidase inhibitor 3	human	1
5284	PIGR	polymeric immunoglobulin receptor	human	3
5318	PKP2	plakophilin 2	human	10
5346	PLIN1	perilipin 1	human	2
54	ACP5	acid phosphatase 5, tartrate resistant	human	13
5420	PODXL	podocalyxin like	human	2
5424	POLD1	DNA polymerase delta 1, catalytic subunit	human	22
5469	MED1	mediator complex subunit 1	human	7
5530	PPP3CA	protein phosphatase 3 catalytic subunit alpha	human	3
55353	LAPTM4B	lysosomal protein transmembrane 4 beta	human	1
55737	VPS35	VPS35 retromer complex component	human	5
5583	PRKCH	protein kinase C eta	human	15
5696	PSMB8	proteasome 20S subunit beta 8	human	2
5705	PSMC5	proteasome 26S subunit, ATPase 5	human	5
5716	PSMD10	proteasome 26S subunit, non-ATPase 10	human	2
574447	MIR146B	microRNA 146b	human	1
59340	HRH4	histamine receptor H4	human	3
6006	RHCE	Rh blood group CcEe antigens	human	15
602	BCL3	BCL3 transcription coactivator	human	10
6118	RPA2	replication protein A2	human	9
6188	RPS3	ribosomal protein S3	human	4
6194	RPS6	ribosomal protein S6	human	1
6281	S100A10	S100 calcium binding protein A10	human	1
6386	SDCBP	syndecan binding protein	human	11
6423	SFRP2	secreted frizzled related protein 2	human	1
6428	SRSF3	serine and arginine rich splicing factor 3	human	2
643	CXCR5	C-X-C motif chemokine receptor 5	human	3
6477	SIAH1	siah E3 ubiquitin protein ligase 1	human	6
6480	ST6GAL1	ST6 beta-galactoside alpha-2,6-sialyltransferase 1	human	4
6497	SKI	SKI proto-oncogene	human	5
6515	SLC2A3	solute carrier family 2 member 3	human	1
65217	PCDH15	protocadherin related 15	human	22
6546	SLC8A1	solute carrier family 8 member A1	human	23
6582	SLC22A2	solute carrier family 22 member 2	human	1
6709	SPTAN1	spectrin alpha, non-erythrocytic 1	human	47
6750	SST	somatostatin	human	1
6839	SUV39H1	SUV39H1 histone lysine methyltransferase	human	2
699	BUB1	BUB1 mitotic checkpoint serine/threonine kinase	human	5
6997	CRIPTO	cripto, EGF-CFC family member	human	2
7058	THBS2	thrombospondin 2	human	8
7134	TNNC1	troponin C1, slow skeletal and cardiac type	human	1
7155	TOP2B	DNA topoisomerase II beta	human	8
7177	TPSAB1	tryptase alpha/beta 1	human	1
7182	NR2C2	nuclear receptor subfamily 2 group C member 2	human	46
7252	TSHB	thyroid stimulating hormone subunit beta	human	2
7317	UBA1	ubiquitin like modifier activating enzyme 1	human	23
7468	NSD2	nuclear receptor binding SET domain protein 2	human	29
7706	TRIM25	tripartite motif containing 25	human	1
7850	IL1R2	interleukin 1 receptor type 2	human	21
79602	ADIPOR2	adiponectin receptor 2	human	22
8013	NR4A3	nuclear receptor subfamily 4 group A member 3	human	4
8065	CUL5	cullin 5	human	11
808	CALM3	calmodulin 3	human	7
839	CASP6	caspase 6	human	7
8405	SPOP	speckle type BTB/POZ protein	human	11
8450	CUL4B	cullin 4B	human	4
84634	KISS1R	KISS1 receptor	human	3
8654	PDE5A	phosphodiesterase 5A	human	5
868	CBLB	Cbl proto-oncogene B	human	58
8740	TNFSF14	TNF superfamily member 14	human	3
8764	TNFRSF14	TNF receptor superfamily member 14	human	37
8767	RIPK2	receptor interacting serine/threonine kinase 2	human	4
8910	SGCE	sarcoglycan epsilon	human	12
9113	LATS1	large tumor suppressor kinase 1	human	30
9146	HGS	hepatocyte growth factor-regulated tyrosine kinase substrate	human	1
9156	EXO1	exonuclease 1	human	42
9166	EBAG9	estrogen receptor binding site associated antigen 9	human	8
9201	DCLK1	doublecortin like kinase 1	human	12
921	CD5	CD5 molecule	human	2
9217	VAPB	VAMP associated protein B and C	human	5
939	CD27	CD27 molecule	human	17
9507	ADAMTS4	ADAM metallopeptidase with thrombospondin type 1 motif 4	human	4
9722	NOS1AP	nitric oxide synthase 1 adaptor protein	human	3
9782	MATR3	matrin 3	human	31
994	CDC25B	cell division cycle 25B	human	12
100316868	HOTTIP	HOXA distal transcript antisense RNA	human	1
101805488	CCAT2	colon cancer associated transcript 2	human	1
10211	FLOT1	flotillin 1	human	24
10318	TNIP1	TNFAIP3 interacting protein 1	human	41
10332	CLEC4M	C-type lectin domain family 4 member M	human	6
10403	NDC80	NDC80 kinetochore complex component	human	1
10516	FBLN5	fibulin 5	human	8
10533	ATG7	autophagy related 7	human	63
1056	CEL	carboxyl ester lipase	human	1
10578	GNLY	granulysin	human	9
10594	PRPF8	pre-mRNA processing factor 8	human	4
10658	CELF1	CUGBP Elav-like family member 1	human	151
10663	CXCR6	C-X-C motif chemokine receptor 6	human	4
10800	CYSLTR1	cysteinyl leukotriene receptor 1	human	4
10848	PPP1R13L	protein phosphatase 1 regulatory subunit 13 like	human	8
11096	ADAMTS5	ADAM metallopeptidase with thrombospondin type 1 motif 5	human	5
11201	POLI	DNA polymerase iota	human	21
1141	CHRNB2	cholinergic receptor nicotinic beta 2 subunit	human	5
1143	CHRNB4	cholinergic receptor nicotinic beta 4 subunit	human	22
