Approved symbol	Chromosome	NCBI Gene ID
CCDC170	6q25.1	80129
CCDC171	9p22.3	203238
CCDC172	10q25.3	374355
CCDC174	3p25.1	51244
CCDC175	14q23.1	729665
CCDC177	14q24.1	56936
CCDC178	18q12.1	374864
CCDC179	11p14.3	100500938
CCDC180	9q22.33	100499483
CCDC181	1q24.2	57821
CCDC182	17q22	101927581
CCDC183	9q34.3	84960
CCDC183-AS1	9q34.3	100131193
CCDC184	12q13.11	387856
CCDC185	1q41	164127
CCDC186	10q25.3	55088
CCDC187	9q34.3	399693
CCDC188	22q11.21	388849
CCDC188BP	22q11.23	107985555
CCDC190	1q23.3	339512
CCDC191	3q13.31	57577
CCDC192	5q23.2-q23.3	728586
CCDC194	19p13.11	110806280
CCDC195	2q36.2	110806281
CCDC196	14q23.3	440184
CCDC197	14q32.12	256369
CCDC198	14q22.3	55195
CCDC200	17q21.31	100874261
CCDC201	7p12.3	114515518
CCDST	1q21.3	112268240
CCEPR	10q21.1	105682749
CCER1	12q21.33	196477
CCER2	19q13.2	643669
CCHCR1	6p21.33	54535
CCIN	9p13.3	881
CCK	3p22.1	885
CCKAR	4p15.2	886
CCKBR	11p15.4	887
CCL		
CCL1	17q12	6346
CCL2	17q12	6347
CCL3	17q12	6348
CCL3-AS1	17q12	102724850
CCL3L1	17q12 alternate reference locus	6349
CCL3L3	17q12	414062
CCL3P1	17q12 alternate reference locus	390788
CCL4	17q12	6351
CCL4L1	17q12 alternate reference locus	388372
CCL4L2	17q12	9560
CCL5	17q12	6352
CCL7	17q12	6354
CCL8	17q12	6355
CCL11	17q12	6356
CCL13	17q12	6357
CCL14	17q12	6358
CCL15	17q12	6359
CCL15-CCL14	17q12	348249
CCL16	17q12	6360
CCL17	16q21	6361
CCL18	17q12	6362
CCL19	9p13.3	6363
CCL20	2q36.3	6364
CCL21	9p13.3	6366
CCL22	16q21	6367
CCL23	17q12	6368
CCL24	7q11.23	6369
CCL25	19p13.2	6370
CCL26	7q11.23	10344
CCL27	9p13.3	10850
CCL28	5p12	56477
CCM2	7p13	83605
CCM2L	20q11.21	140706
CCM3	3q25.2-q27	
CCN1	1p22.3	3491
CCN2	6q23.2	1490
CCN2-AS1	6q23.2	
CCN3	8q24.12	4856
CCN4	8q24.22	8840
CCN5	20q13.12	8839
CCN6	6q21	8838
CCNA		
CCNA1	13q13.3	8900
CCNA2	4q27	890
CCNB1	5q13.2	891
CCNB1IP1	14q11.2	57820
CCNB1IP1P1	1p34.1	728887
CCNB1IP1P2	20q13.12	100505892
CCNB1IP1P3	Xq21.33	100128456
CCNB2	15q22.2	9133
CCNB2P1	7p21.3	100132073
CCNB3	Xp11.22	85417
CCNB3P1	5p14.1	100131678
CCNC	6q16.2	892
CCND1	11q13.3	595
CCND2	12p13.32	894
CCND2-AS1	12p13.32	103752584
CCND2-AS2	12p13.32	
CCND2P1	11q12.3	895
CCND3	6p21.1	896
CCND3P1	10p11.23	897
CCND3P2	18q23	
CCNDBP1	15q15.2	23582
CCNE		
CCNE1	19q12	898
CCNE2	8q22.1	9134
CCNF	16p13.3	899
CCNG1	5q34	900
CCNG1P1	6q23.2	100130820
CCNG2	4q21.1	901
CCNG2P1	12q21.1	100128681
CCNH	5q14.3	902
CCNHP1	4q34.3	100128118
CCNI	4q21.1	10983
CCNI2	5q31.1	645121
CCNJ	10q24.1	54619
CCNJL	5q33.3	79616
CCNJP1	7p11.2	100128459
CCNJP2	1p22.1	100418724
CCNK	14q32.2	8812
CCNL1		
CCNL1	3q25.31	57018
CCNL2	1p36.33	81669
CCNL2P1	4p13	100418743
CCNM	reserved	
CCNO	5q11.2	10309
CCNO-DT	5q11.2	
CCNP	19q13.2	79935
CCNQ	Xq28	92002
CCNQP1	1q32.1	339521
CCNQP2	Yq12	100421487
CCNQP3	13q12.11	
CCNT1	12q13.11-q13.12	904
CCNT2	2q21.3	905
CCNT2-AS1	2q21.3	100129961
CCNT2P1	1p13.3	100418763
CCNY	10p11.21	219771
CCNY-AS1	10p11.21	
CCNYL1	2q33.3	151195
CCNYL1B	16p11.2	102724485
CCNYL2	10q11.21	414194
CCNYL3	16p11.2	102724928
CCNYL4	10p11.1	100129055
CCNYL5	Xq12	100130724
CCNYL6	19p12	641367
CCNYL7	16p12.2	100419017
CCO	19q12-q13.2	
CCP110	16p12.3	9738
CCPG1	15q21.3	9236
CCR1	3p21.31	1230
CCR2	3p21.31	729230
CCR3	3p21.31	1232
CCR4	3p22.3	1233
CCR5	3p21.31	1234
CCR5AS	3p21.31	102724297
CCR6	6q27	1235
CCR7	17q21.2	1236
CCR8	3p22.1	1237
CCR9	3p21.31	10803
CCR10	17q21.2	2826
CCR12P	13q32.3	100133168
CCRL2	3p21.31	9034
CCS	11q13.2	9973
CCSAP	1q42.13	126731
CCSER1	4q22.1	401145
CCSER2	10q23.1	54462
CCSER2P1	9q31.1	100127962
CCT	X	
CCT2	12q15	10576
CCT3	1q22	7203
CCT3P1	8p22	646440
CCT4	2p15	10575
CCT4P1	7q34	650172
CCT4P2	Xq11.2	100131638
CCT5	5p15.2	22948
CCT5P1	5q22.3	402226
CCT5P2	13q31.1	390415
CCT6		
CCT6A	7p11.2	908
CCT6B	17q12	10693
CCT6P1	7q11.21	643253
CCT6P2	5p15.2	391739
CCT6P3	7q11.21	643180
CCT6P4	3q28	100130481
CCT6P5	11q22.3	100463286
CCT7	2p13.2	10574
CCT7P1	6q25.1	442267
CCT7P2	5q14.3	100288772
CCT8	21q21.3	10694
CCT8L1P	7q36.1	155100
CCT8L2	22q11.1	150160
CCT8P1	1q21.1	644131
CCV	1pter-p36.13	
CCZ1	7p22.1	51622
CCZ1B	7p22.1	221960
CCZ1P1	7q21.3	110440226
CD1A	1q23.1	909
CD1B	1q23.1	910
CD1C	1q23.1	911
CD1D	1q23.1	912
CD1E	1q23.1	913
CD2	1p13.1	914
CD2AP	6p12.3	23607
CD2AP-DT	6p12.3	
CD2BP2	16p11.2	10421
CD2BP2-DT	16p11.2	101928707
CD3D	11q23.3	915
CD3E	11q23.3	916
CD3G	11q23.3	917
CD3W	reserved	
CD4	12p13.31	920
CD5	11q12.2	921
CD5L	1q23.1	922
CD6	11q12.2	923
CD7	17q25.3	924
CD8A	2p11.2	925
CD8B	2p11.2	926
CD8B2	2q12.2	927
CD9	12p13.31	928
CD11B		
CD13		
CD14	5q31.3	929
CD15		
CD19	16p11.2	930
CD20		
CD20L		
CD22	19q13.12	933
CD23A		
CD24	6q21	100133941
CD24P1	1p36.21	935
CD24P2	15q21.3	936
CD24P3	20q11.21	937
CD24P4	Yq11.222	938
CD24P5	3p26.1	
CD26		
CD27	12p13.31	939
CD27-AS1	12p13.31	678655
CD27LG		
CD28	2q33.2	940
CD28LG1		
CD28LG2		
CD30		
CD30LG		
CD33	19q13.41	945
CD33L1		
CD33L2		
CD34	1q32.2	947
CD36	7q21.11	948
CD37	19q13.33	951
CD38	4p15.32	952
CD39		
CD39L1		
CD39L2		
CD39L3		
CD39L4		
CD40	20q13.12	958
CD40LG	Xq26.3	959
CD44	11p13	960
CD44-AS1	11p13	
CD44-DT	11p13	100507144
CD46	1q32.2	4179
CD46P1	1q32.2	4182
CD47	3q13.12	961
CD48	1q23.3	962
CD49B		
CD52	1p36.11	1043
CD53	1p13.3	963
CD55	1q32.2	1604
CD57		
CD58	1p13.1	965
CD59	11p13	966
CD63	12q13.2	967
CD63-AS1	12q13.2	105369779
CD68	17p13.1	968
CD69	12p13.31	969
CD70	19p13.3	970
CD72	9p13.3	971
CD74	5q33.1	972
CD79A	19q13.2	973
CD79B	17q23.3	974
CD80	3q13.33	941
CD81	11p15.5	975
CD81-AS1	11p15.5	101927682
CD82	11p11.2	3732
CD82-AS1	11p11.2	
CD83	6p23	9308
CD83P1	6p22.1	100128240
CD84	1q23.3	8832
CD84P1	Xq28	
CD86	3q13.33	942
CD93	20p11.21	22918
CD94		
CD96	3q13.13-q13.2	10225
CD99	Xp22.32 and Yp11.3	4267
CD99L2	Xq28	83692
CD99P1	Xp22.33 and Yp11.31	401577
CD101	1p13.1	9398
CD101-AS1	1p13.1	101929099
CD109	6q13	135228
CD109-AS1	6q13	101928489
CD151	11p15.5	977
CD160	1q21.1	11126
CD163	12p13.31	9332
CD163L1	12p13.31	283316
CD164	6q21	8763
CD164L2	1p36.11	388611
CD177	19q13.31	57126
CD177P1	19q13.31	653579
CD180	5q12.3	4064
CD200	3q13.2	4345
CD200LP	3q13.2	
CD200R1	3q13.2	131450
CD200R1L	3q13.2	344807
CD200R1L-AS1	3q13.2	100129297
CD200R1P1	3q13.2	
CD207	2p13.3	50489
CD209	19p13.2	30835
CD226	18q22.2	10666
CD244	1q23.3	51744
CD247	1q24.2	919
CD248	11q13.2	57124
CD274	9p24.1	29126
CD276	15q24.1	80381
CD300A	17q25.1	11314
CD300C	17q25.1	10871
CD300E	17q25.1	342510
CD300H	17q25.1	100130520
CD300LB	17q25.1	124599
CD300LD	17q25.1	100131439
CD300LD-AS1	17q25.1	146723
CD300LF	17q25.1	146722
CD300LG	17q21.31	146894
CD302	2q24.2	9936
CD320	19p13.2	51293
CDA	1p36.12	978
CDADC1	13q14.2	81602
CDAN1	15q15.2	146059
CDAN2	20q11.2	
CDAN3	15q21-q25	
CDB2	10q23-q24	
CDC2L3		
CDC2L4		
CDC5L	6p21.1	988
CDC6	17q21.2	990
CDC7	1p22.1	8317
CDC14A	1p21.2	8556
CDC14B	9q22.32-q22.33	8555
CDC14C	7p12.3	168448
CDC16	13q34	8881
CDC18L		
CDC20	1p34.2	991
CDC20-DT	1p34.2	105378687
CDC20B	5q11.2	166979
CDC20P1	9q21.33	157956
CDC23	5q31.2	8697
CDC25A	3p21.31	993
CDC25B	20p13	994
CDC25C	5q31.2	995
CDC26	9q32	246184
CDC26P1	7q32.1	729948
CDC27	17q21.32	996
CDC27P1	2q21.2	647696
CDC27P2	Yp11.2	100130277
CDC27P3	20q11.1	102723416
CDC27P4	20q11.21	102723498
CDC27P5	20q11.21	647654
CDC27P6	14p11.2	649620
CDC27P7	22p11.2	102723711
CDC27P8	22p11.2	100288806
CDC27P9	21p11.2	102723570
CDC27P10	21p11.2	102723584
CDC27P11	21p11.2	102723603
CDC34	19p13.3	997
CDC37	19p13.2	11140
CDC37L1	9p24.1	55664
CDC37L1-DT	9p24.1	101929351
CDC37P1	16p11.2	390688
CDC37P2	16p12.1	647015
CDC40	6q21	51362
CDC42	1p36.12	998
CDC42-AS1	1p36.12	112268223
CDC42-IT1	1p36.12	
CDC42BPA	1q42.13	8476
CDC42BPB	14q32.32	9578
CDC42BPG	11q13.1	55561
CDC42EP1	22q13.1	11135
CDC42EP2	11q13.1	10435
CDC42EP3	2p22.2	10602
CDC42EP3-AS1	2p22.2	
CDC42EP3P1	19p12	100128845
CDC42EP4	17q25.1	23580
CDC42EP5	19q13.42	148170
CDC42P1	20q11.22	170503
CDC42P2	7p11.2	643336
CDC42P3	8q24.3	100128627
CDC42P4	4q25	100131440
CDC42P5	5q35.1	100507354
CDC42P6	4p15.2	643751
CDC42P7	3p22.2	101409262
CDC42SE1	1q21.3	56882
CDC42SE2	5q31.1	56990
CDC45	22q11.21	8318
CDC45L2		
CDC46		
CDC73	1q31.2	79577
CDC123	10p14-p13	8872
CDCA2	8p21.2	157313
CDCA3	12p13.31	83461
CDCA3P1	7p14.1	
CDCA4	14q32.33	55038
CDCA4P1	9p22.3	100420502
CDCA4P2	1p22.3	
CDCA4P3	1q32.2	100420558
CDCA4P4	1q32.2	
CDCA5	11q13.1	113130
CDCA6	reserved	
CDCA7	2q31.1	83879
CDCA7L	7p15.3	55536
CDCA7P1	6p22.1	442172
CDCA7P2	9q21.13	100129601
CDCA8	1p34.3	55143
CDCL1		
CDCP1	3p21.31	64866
CDCP2	1p32.3	200008
CDG1		
CDH1	16q22.1	999
CDH2	18q12.1	1000
CDH3	16q22.1	1001
CDH3-AS1	16q22.1	
CDH4	20q13.33	1002
CDH5	16q21	1003
CDH6	5p13.3	1004
CDH7	18q22.1	1005
CDH8	16q21	1006
CDH8-AS1	16q21	
CDH9	5p14.1	1007
CDH10	5p14.2-p14.1	1008
CDH11	16q21	1009
CDH12	5p14.3	1010
CDH12P1	5q13.2	100093625
CDH12P2	5q13.2	1011
CDH12P3	5q13.2	100093624
CDH12P4	5q13.2	100093626
CDH13	16q23.3	1012
CDH13-AS1	16q23.3	105371368
CDH13-AS2	16q23.3	102724163
CDH15	16q24.3	1013
CDH16	16q22.1	1014
CDH17	8q22.1	1015
CDH18	5p14.3	1016
CDH18-AS1	5p14.3	102725105
CDH19	18q22.1	28513
CDH20	18q21.33	28316
CDH21	reserved	
CDH22	20q13.12	64405
CDH23	10q22.1	64072
CDH23-AS1	10q22.1	102723377
CDH24	14q11.2	64403
CDH25	reserved	
CDH26	20q13.33	60437
CDHR1	10q23.1	92211
CDHR2	5q35.2	54825
CDHR3	7q22.3	222256
CDHR4	3p21.31	389118
CDHR5	11p15.5	53841
CDHR17P	7q21.11	
CDHR18P	3p14.2-p14.1	100130345
CDIN1	15q14	84529
CDIP1	16p13.3	29965
CDIPT	16p11.2	10423
CDIPTOSP	16p11.2	440356
CDK1	10q21.2	983
CDK2	12q13.2	1017
CDK2AP1	12q24.31	8099
CDK2AP1P1	3q13.33	107986120
CDK2AP2	11q13.2	10263
CDK2AP2P1	9p11.2	100289027
CDK2AP2P2	9q13	
CDK2AP2P3	9q13	401525
CDK3	17q25.1	1018
CDK4	12q14.1	1019
CDK4P1	1p21.1	359941
CDK5	7q36.1	1020
CDK5P1	8q24.13	392265
CDK5R1	17q11.2	8851
CDK5R2	2q35	8941
CDK5R2-AS1	2q35	
CDK5RAP1	20q11.21	51654
CDK5RAP2	9q33.2	55755
CDK5RAP3	17q21.32	80279
CDK5RAP3P1	20q11.21	149935
CDK6	7q21.2	1021
CDK6-AS1	7q21.2	101927497
CDK7	5q13.2	1022
CDK7P1	2q24.1	220786
CDK8	13q12.13	1024
CDK8P1	2p25.1	100419916
CDK8P2	2q14.1	100287419
CDK9	9q34.11	1025
CDK10	16q24.3	8558
CDK11A	1p36.33	728642
CDK11B	1p36.33	984
CDK12	17q12	51755
CDK13	7p14.1	8621
CDK13-DT	7p14.1	112267983
CDK14	7q21.13	5218
CDK15	2q33.1	65061
CDK16	Xp11.3	5127
CDK17	12q23.1	5128
CDK18	1q32.1	5129
CDK19	6q21	23097
CDK20	9q22.1	23552
CDKAL1	6p22.3	54901
CDKL1	14q21.3	8814
CDKL2	4q21.1	8999
CDKL3	5q31.1	51265
CDKL4	2p22.1	344387
CDKL5	Xp22.13	6792
CDKN1		
CDKN1A	6p21.2	1026
CDKN1A-AS1	6p21.1	100861512
CDKN1B	12p13.1	1027
CDKN1C	11p15.4	1028
CDKN2A	9p21.3	1029
CDKN2A-AS1	9p21.3	51198
CDKN2AIP	4q35.1	55602
CDKN2AIPNL	5q31.1	91368
CDKN2AIPNLP1	1q42.12	391169
CDKN2AIPNLP2	2p23.3	100128579
CDKN2AIPNLP3	13q14.11	100874397
CDKN2B	9p21.3	1030
CDKN2B-AS1	9p21.3	100048912
CDKN2C	1p32.3	1031
CDKN2D	19p13.2	1032
CDKN3	14q22.2	1033
CDL1	3q26.3	
CDL2	reserved	
CDN1		
CDNF	10p13	441549
CDO1	5q22.3	1036
CDON	11q24.2	50937
CDPD1	20p13	
CDPF1	22q13.31	150383
CDPF1P1	2p16.1	100128027
CDPX1		
CDPX2		
CDR1	Xq27.1	1038
CDR1-AS	Xq27.1	
CDR2	16p12.2	1039
CDR2-DT	16p12.2	440346
CDR2L	17q25.1	30850
CDRT2	17p12	94144
CDRT3	17p12	94145
CDRT4	17p12	284040
CDRT5	17p12	94148
CDRT7	17p12	94150
CDRT8	17p12	94151
CDRT10	17p12	94153
CDRT11	17p12	94154
CDRT12	17p12	94155
CDRT13	17p12	94156
CDRT15	17p12	146822
CDRT15L2	17p11.2	256223
CDRT15P1	17p12	94158
CDRT15P2	17p12	644694
CDRT15P3	2q21.2	408029
CDRT15P4	2q21.2	117314529
CDRT15P5	9p21.1	100131855
CDRT15P6	9p11.2	100420778
CDRT15P7	9q13	100420788
CDRT15P8	21p11.2	100420925
CDRT15P9	21p11.2	105372731
CDRT15P10	Yq11.21	100420811
CDRT15P11	4q28.2	100127912
CDRT15P12	9q21.11	100420789
CDRT15P13	14q11.2	642669
CDRT15P14	9p11.2	100420784
CDS1	4q21.23	1040
CDS2	20p12.3	8760
CDSN	6p21.33	1041
CDSP		
CDT1	16q24.3	81620
CDV3	3q22.1	55573
CDV3P1	3q11.2	100129736
CDX1	5q32	1044
CDX2	13q12.2	1045
CDX3		
CDX4	Xq13.2	1046
CDY1	Yq11.23	9085
CDY1B	Yq11.23	253175
CDY2A	Yq11.222	9426
CDY2B	Yq11.222	203611
CDY3P	Yp11.2	286556
CDY4P	Yq11.221	386729
CDY5P	Yq11.222	378008
CDY6P	Yq11.222	386730
CDY7P	Yq11.222	386731
CDY8P	Yq11.222	386732
CDY9P	Yq11.222	378011
CDY10P	Yq11.223	140043
CDY11P	Yq11.223	378014
CDY12P	Yq11.223	386734
CDY13P	Yq11.223	386735
CDY14P	Yq11.223	386736
CDY15P	Yq11.23	386737
CDY16P	Yq11.23	386738
CDY17P	Yq11.23	386739
CDY18P	Yq11.23	386740
CDY19P	Yq11.23	386741
CDY20P	Yq11.23	386742
CDY21P	Yq11.23	386743
CDY22P	Yq11.23	386744
CDY23P	Yq11.23	386745
CDY24P	Yq11.222	
CDYL	6p25.1	9425
CDYL-AS1	6p25.1	101927913
CDYL2	16q23.2	124359
CDYLP1	3p24.3	100132260
CDYP		
CEA		
CEACAM1	19q13.2	634
CEACAM3	19q13.2	1084
CEACAM4	19q13.2	1089
CEACAM5	19q13.2	1048
CEACAM6	19q13.2	4680
CEACAM7	19q13.2	1087
CEACAM8	19q13.2	1088
CEACAM16	19q13.31-q13.32	388551
CEACAM16-AS1	19q13.31	107985305
CEACAM18	19q13.41	729767
CEACAM19	19q13.31	56971
CEACAM20	19q13.31	125931
CEACAM21	19q13.2	90273
CEACAM22P	19q13.31	388550
CEACAMP1	19q13.2	1090
CEACAMP2	19q13.2	1091
CEACAMP3	19q13.2	1092
CEACAMP4	19q13.31	1093
CEACAMP5	19q13.2	1085
CEACAMP6	19q13.2	1094
CEACAMP7	19q13.31	1095
CEACAMP8	19q13.31	1096
CEACAMP9	19q13.31	1097
CEACAMP10	19q13.31	1098
CEACAMP11	19q13.31	1086
CEAL1		
CEBPA	19q13.11	1050
CEBPA-DT	19q13.11	80054
CEBPB	20q13.13	1051
CEBPB-AS1	20q13.13	101927559
CEBPD	8q11.21	1052
CEBPE	14q11.2	1053
CEBPG	19q13.11	1054
CEBPZ	2p22.2	10153
CEBPZOS	2p22.2	100505876
CECR	22pter-q11	
CECR2	22q11.1-q11.21	27443
CECR3	22q11.1	27442
CECR7	22q11.1	100130418
CECR9	22q11.2	30847
CEDORA	16q23.3	124903732
CEL	9q34.13	1056
CELA1	12q13.13	1990
CELA2A	1p36.21	63036
CELA2B	1p36.21	51032
CELA3A	1p36.12	10136
CELA3B	1p36.12	23436
CELF1	11p11.2	10658
CELF2	10p14	10659
CELF2-AS1	10p14	414196
CELF2-AS2	10p14	439950
CELF2-DT	10p14	101928322
CELF3	1q21.3	11189
CELF4	18q12.2	56853
CELF5	19p13.3	60680
CELF6	15q23	60677
CELIAC2	5q31-q33	
CELIAC3	2q33	
CELIAC4	19p13.11	
CELP	9q34.13	1057
CELSR1	22q13.31	9620
CELSR1P1	22q11.21	
CELSR2	1p13.3	1952
CELSR3	3p21.31	1951
CEMIP	15q25.1	57214
CEMIP2	9q21.13	23670
CEMP1	16p13.3	752014
CENATAC	11q23.3	338657
CENATAC-DT	11q23.3	107984396
CENATACP1	20p12.1	100420611
CEND1	11p15.5	51286
CEND1P1	14q32.33	122631
CEND1P2	13q12.12	724034
CENPA	2p23.3	1058
CENPB	20p13	1059
CENPBD1P	16q24.3	92806
CENPBD2P	19q13.43	65996
CENPC		
CENPC	4q13.2	1060
CENPCP1	12q21.33	1061
CENPE	4q24	1062
CENPF	1q41	1063
CENPH	5q13.2	64946
CENPI	Xq22.1	2491
CENPIP1	13q12.11	100419337
CENPJ	13q12.12-q12.13	55835
CENPK	5q12.3	64105
CENPL	1q25.1	91687
CENPM	22q13.2	79019
CENPN	16q23.2	55839
CENPN-AS1	16q23.2	107984858
CENPNP1	2p11.2	100132498
CENPNP2	2q13	100133059
CENPO	2p23.3	79172
CENPP	9q22.31	401541
CENPPP1	3p22.1	
CENPQ	6p12.3	55166
CENPS	1p36.22	378708
CENPS-CORT	1p36.22	100526739
CENPT	16q22.1	80152
CENPU	4q35.1	79682
CENPUP1	11p15.3	100130384
CENPUP2	12p12.1	100419930
CENPV	17p11.2	201161
CENPVL1	Xp11.22	389857
CENPVL2	Xp11.22	441495
CENPVL3	Xp11.22	347549
CENPW	6q22.32	387103
CENPX	17q25.3	201254
CEP15	3p14.2	57415
CEP19	3q29	84984
CEP19P1	2q37.2	642692
CEP20	16p13.11	123811
CEP41	7q32.2	95681
CEP43	6q27	11116
CEP44	4q34.1	80817
CEP55	10q23.33	55165
CEP57	11q21	9702
CEP57L1	6q21	285753
CEP57L1P1	10q22.1	221017
CEP63	3q22.2	80254
CEP68	2p14	23177
CEP70	3q22.3	80321
CEP72	5p15.33	55722
CEP72-DT	5p15.33	100996325
CEP76	18p11.21	79959
CEP78	9q21.2	84131
CEP83	12q22	51134
CEP83-DT	12q22	144486
CEP85	1p36.11	64793
CEP85L	6q22.31	387119
CEP89	19q13.11	84902
CEP95	17q23.3	90799
CEP97	3q12.3	79598
CEP104	1p36.32	9731
CEP112	17q24.1	201134
CEP120	5q23.2	153241
CEP126	11q22.1	57562
CEP128	14q31.1	145508
CEP131	17q25.3	22994
CEP135	4q12	9662
CEP152	15q21.1	22995
CEP162	6q14.2-q14.3	22832
CEP164	11q23.3	22897
CEP164P1	10q11.21	100289237
CEP170	1q43	9859
CEP170B	14q32.33	283638
CEP170P1	4q26	645455
CEP192	18p11.21	55125
CEP192-DT	18p11.21	
CEP192P1	5q35.2	643201
CEP250	20q11.22	11190
CEP250-AS1	20q11.22	102725201
CEP290	12q21.32	80184
CEP295	11q21	85459
CEP295NL	17q25.3	100653515
CEP350	1q25.2	9857
CEPA	reserved	
CEPO		
CEPT1	1p13.3	10390
CER1	9p22.3	9350
CERCAM	9q34.11	51148
CERK	22q13.31	64781
CERKL	2q31.3	375298
CERNA1	15q21.2	100129973
CERNA2	10q23.1	642934
CERNA3	8q12.1	105375847
CEROX1	16p13.3	115804232
CERS1	19p13.11	10715
CERS2	1q21.3	29956
CERS3	15q26.3	204219
CERS3-AS1	15q26.3	102723320
CERS4	19p13.2	79603
CERS5	12q13.12	91012
CERS6	2q24.3	253782
CERS6-AS1	2q24.3	100861402
CERT1	5q13.3	10087
CES1	16q12.2	1066
CES1P1	16q12.2	51716
CES1P2	16q12.2	390732
CES2	16q22.1	8824
CES3	16q22.1	23491
CES4A	16q22.1	283848
CES5A	16q12.2	221223
CES5AP1	22q11.23	649264
CETN1	18p11.32	1068
CETN2	Xq28	1069
CETN3	5q14.3	1070
CETN4P	4q27	729338
CETP	16q13	1071
CF		
CFAG		
CFAP20	16q21	29105
CFAP20DC	3p14.2	200844
CFAP20DC-AS1	3p14.2	101929238
CFAP20DC-DT	3p14.2	105377110
CFAP36	2p16.1	112942
CFAP43	10q25.1	80217
CFAP44	3q13.2	55779
CFAP44-AS1	3q13.2	
CFAP45	1q23.2	25790
CFAP46	10q26.3	54777
CFAP47	Xp21.1	286464
CFAP52	17p13.1	146845
CFAP53	18q21.1	220136
CFAP53P1	5p13.1	100129040
CFAP54	12q23.1	144535
CFAP57	1p34.2	149465
CFAP58	10q25.1	159686
CFAP58-DT	10q25.1	100505869
CFAP61	20p11.23	26074
CFAP61-AS1	20p11.23	101929575
CFAP65	2q35	255101
CFAP68	11q23.1	64776
CFAP69	7q21.13	79846
CFAP69P1	16q13	100130044
CFAP70	10q22.2	118491
CFAP73	12q24.13	387885
CFAP74	1p36.33	85452
CFAP77	9q34.13	389799
CFAP90	5p15.31	134121
CFAP91	3q13.33	89876
CFAP92	3q21.3	57501
CFAP95	9q21.12	138255
CFAP95-DT	9q21.12	494558
CFAP96	4q35.1	441054
CFAP97	4q35.1	57587
CFAP97D1	17q21.31	284067
CFAP97D2	13q34	101929355
CFAP97P1	1p34.3	100418722
CFAP99	4p16.3	402160
CFAP100	3q21.3	348807
CFAP100-DT	3q21.3	100506907
CFAP107	1p36.21	93190
CFAP119	16p11.2	90835
CFAP126	1q23.3	257177
CFAP141	1q21.3	388701
CFAP144	1p34.2	440585
CFAP144P1	7p14.1	340286
CFAP144P2	2q12.1	101060105
CFAP144P3	1q41	107403081
CFAP157	9q34.11	286207
CFAP161	15q25.1	161502
CFAP184	4p16.1	257236
CFAP206	6q15	154313
CFAP210	2q31.1	129881
CFAP221	2q14.2	200373
CFAP251	12q24.31	144406
CFAP263	16q21	29070
CFAP276	1p13.3	127003
CFAP298	21q22.11	56683
CFAP298-TCP10L	21q22.11	110091775
CFAP299	4q21.21	255119
CFAP300	11q22.1	85016
CFAP410	21q22.3	755
CFAP418	8q22.1	157657
CFAP418-AS1	8q22.1	100616530
CFB	6p21.33	629
CFC1	2q21.1	55997
CFC1B	2q21.1	653275
CFD	19p13.3	1675
CFD1		
CFDP1	16q23.1	10428
CFH	1q31.3	3075
CFHR1	1q31.3	3078
CFHR1P	1	
CFHR2	1q31.3	3080
CFHR3	1q31.3	10878
CFHR4	1q31.3	10877
CFHR5	1q31.3	81494
CFI	4q25	3426
CFL1	11q13.1	1072
CFL1P1	10q23.31	142913
CFL1P2	1p32.3	391039
CFL1P3	1p31.3	100131874
CFL1P4	1q43	645980
CFL1P5	5q13.2	1074
CFL1P6	1p36.22	390996
CFL1P7	3p24.2	100505919
CFL1P8	13q32.3	100873812
CFL2	14q13.1	1073
CFLAR	2q33.1	8837
CFLAR-AS1	2q33.1	65072
CFM1	19q13.2-q13.3	
CFM2	reserved	
CFNS	Xp22	
CFP	Xp11.23	5199
CFTR	7q31.2	1080
CFTR-AS1	7q31.2	111082987
CFTRP1	20p11.1	140871
CFTRP2	20q11.1	107080633
CFTRP3	20q11.1	
CGA	6q14.3	1081
CGAS	6q13	115004
CGB1	19q13.33	114335
CGB2	19q13.33	114336
CGB3	19q13.33	1082
CGB5	19q13.33	93659
CGB7	19q13.33	94027
CGB8	19q13.33	94115
CGF1	Xp11.22-qter	
CGGBP1	3p11.1	8545
CGM1		
CGM2		
CGM6		
CGM7		
CGM8		
CGM9		
CGM10		
CGM11		
CGM12		
CGM13		
CGM14		
CGM15		
CGM16		
CGM17		
CGM18		
CGN	1q21.3	57530
CGNL1	15q21.3	84952
CGREF1	2p23.3	10669
CGRRF1	14q22.2	10668
CGS23		
CGT		
CH25H	10q23.31	9023
CHAC1	15q15.1	79094
CHAC2	2p16.2	494143
CHAD	17q21.33	1101
CHADL	22q13.2	150356
CHAER1	4q12	105377667
CHAF1A	19p13.3	10036
CHAF1B	21q22.12-q22.13	8208
CHAMP1	13q34	283489
CHASERR	15q26.1	100507217
CHAT	10q11.23	1103
CHCHD1	10q22.2	118487
CHCHD2	7p11.2	51142
CHCHD2P1	Xq25	100874506
CHCHD2P2	5q13.2	728324
CHCHD2P3	19q13.11	100128110
CHCHD2P4	6q23.2	100874507
CHCHD2P5	1p22.1	100874508
CHCHD2P6	1p36.21	645317
CHCHD2P7	4q22.1	100874509
CHCHD2P8	13q12.2	646630
CHCHD2P9	9q21.31	645345
CHCHD2P10	8q11.23	392221
CHCHD2P11	13q14.11	101060040
